Record_ID,Canonical_ID,Duplicate_Status,RDKit_Canonical_SMILES,InChIKey,BBB permeability,CNS permeability,BBB permeant,BBB_Model_Consensus,P-glycoprotein substrate,Pgp substrate,Pgp_Model_Consensus,Consensus Log P,TPSA,ESOL Log S,AMES toxicity,hERG I inhibitor,hERG II inhibitor,Hepatotoxicity,Safety_Alerts,PAINS #alerts,Brenk #alerts,Medicinal_Chemistry_Alerts,Synthetic Accessibility,Synthetic_Accessibility_Use,MW
A1,A1,Primary canonical record,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,RYAVPURPEWUCGR-UHFFFAOYSA-N,-1.553,-2.647,No,Concordant nonsupportive,Yes,No,Discordant,2.48,82.25,-5.88,Yes,No,Yes,No,Ames; hERG II,0,0,PAINS=0; Brenk=0,3.31,Separate synthesis/developability field; excluded from ADMET ranking,485.46
A2,A2,Primary canonical record,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,JYGZVVWKPOSECN-UHFFFAOYSA-N,-1.432,-2.787,No,Concordant nonsupportive,Yes,No,Discordant,2.17,82.25,-5.62,Yes,No,Yes,No,Ames; hERG II,0,0,PAINS=0; Brenk=0,3.31,Separate synthesis/developability field; excluded from ADMET ranking,467.47
A3,A3,Primary canonical record,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,IVVCXQQZEMWNOK-UHFFFAOYSA-N,-0.984,-2.507,No,Discordant,Yes,No,Discordant,2.68,73.02,-5.71,No,No,Yes,No,hERG II,0,0,PAINS=0; Brenk=0,3.32,Separate synthesis/developability field; excluded from ADMET ranking,469.46
A4,A4,Primary canonical record,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,FBNPWDKOHCTAFT-UHFFFAOYSA-N,-0.819,-2.64,Yes,Concordant supportive,Yes,No,Discordant,1.84,73.02,-4.97,Yes,No,Yes,No,Ames; hERG II,0,0,PAINS=0; Brenk=0,3.16,Separate synthesis/developability field; excluded from ADMET ranking,419.45
A5,A5,Primary canonical record,CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,JZWMBORVCJYGRM-UHFFFAOYSA-N,-1.192,-3.802,No,Concordant nonsupportive,Yes,No,Discordant,2.74,73.02,-5.35,No,No,Yes,No,hERG II,0,0,PAINS=0; Brenk=0,3.42,Separate synthesis/developability field; excluded from ADMET ranking,469.46
A6,A6,Primary canonical record,CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,ROISXNCPSSLCOO-UHFFFAOYSA-N,-0.996,-3.55,Yes,Discordant,Yes,No,Discordant,2.21,73.02,-5.14,Yes,No,Yes,No,Ames; hERG II,0,0,PAINS=0; Brenk=0,3.24,Separate synthesis/developability field; excluded from ADMET ranking,437.44
A7,A7,Primary canonical record,CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,WGQOACSSQOYZLN-UHFFFAOYSA-N,-1.274,-3.534,No,Concordant nonsupportive,Yes,No,Discordant,2.93,73.02,-5.8,No,No,Yes,No,hERG II,0,0,PAINS=0; Brenk=0,3.34,Separate synthesis/developability field; excluded from ADMET ranking,473.42
A8,A8,Primary canonical record,CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,SKIRNMQWXSZAMC-UHFFFAOYSA-N,-0.931,-2.339,Yes,Concordant supportive,Yes,No,Discordant,2.68,73.02,-6.01,Yes,No,Yes,No,Ames; hERG II,0,0,PAINS=0; Brenk=0,3.26,Separate synthesis/developability field; excluded from ADMET ranking,470.35
A9,A9,Primary canonical record,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,CRJOUMHDHKDKMB-UHFFFAOYSA-N,-1.553,-2.71,No,Concordant nonsupportive,Yes,No,Discordant,2.62,82.25,-5.78,No,No,Yes,Yes,hERG II; Hepatotoxicity,0,0,PAINS=0; Brenk=0,3.43,Separate synthesis/developability field; excluded from ADMET ranking,499.48
A10,A10,Primary canonical record,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(COC(F)(F)F)c2cnc(-c3ccccc3)nc21,QJCBKXCGKKCQEH-UHFFFAOYSA-N,-1.084,-2.624,No,Concordant nonsupportive,Yes,No,Discordant,2.33,82.25,-5.76,No,No,Yes,No,hERG II,0,0,PAINS=0; Brenk=0,3.46,Separate synthesis/developability field; excluded from ADMET ranking,485.46
