Compound,Molecule,Analog,Canonical SMILES,MW,BBB permeability,CNS permeability,BBB permeant,P-glycoprotein substrate,Pgp substrate,pgp_consensus,bbb_consensus,Consensus Log P,TPSA,ESOL Log S,Synthetic Accessibility,AMES toxicity,hERG I inhibitor,hERG II inhibitor,Hepatotoxicity,PAINS #alerts,Brenk #alerts,score_BBB_pkcsm_z,score_CNS_pkcsm_z,score_logp_fit_z,score_TPSA_z,score_ESOL_z,score_synth_access_z,continuous_score,penalty_ames,penalty_hepatotoxicity,penalty_hERG_I,penalty_hERG_II,penalty_PAINS,penalty_Brenk,penalty_BBB_swiss_no,categorical_penalty,decision_score,md_panel_role
A1,Molecule 1,A1,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)OC(F)(F)F,485.46,-1.553,-2.647,No,Yes,No,Discordant,Concordant unfavorable,2.48,82.25,-5.88,3.31,Yes,No,Yes,No,0,0,-1.6458478417130955,0.37115660743535756,0.3308184463828529,-1.4142135623730985,-0.7220388351691935,0.17868542247296046,-0.4835732938273695,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,-1.8835732938273695,Not selected for first-pass MD
A2,Molecule 2,A2,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)OC(F)F,467.47,-1.432,-2.787,No,Yes,No,Discordant,Concordant unfavorable,2.17,82.25,-5.62,3.31,Yes,No,Yes,No,0,0,-1.1781212499527713,0.07914454039286631,-0.7062416271094635,-1.4142135623730985,0.05656525436809449,0.17868542247296046,-0.49736353703356867,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,-1.8973635370335686,Not selected for first-pass MD
A3,Molecule 3,A3,CCN(C(=O)Cn1c2nc(ncc2n(c1=O)CC(F)(F)F)c1ccccc1)Cc1ccccc1,469.46,-0.984,-2.507,No,Yes,No,Discordant,Discordant,2.68,73.02,-5.71,3.32,No,No,Yes,No,0,0,0.5536267922672712,0.6631686744778479,0.9998894615391866,0.7071067811865444,-0.21295154585635118,0.07147416898918324,0.46371905543394704,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,-0.23628094456605292,MD comparator: balanced clean-toxicity candidate
A4,Molecule 4,A4,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)F,419.45,-0.819,-2.64,Yes,Yes,No,Discordant,Concordant favorable,1.84,73.02,-4.97,3.16,Yes,No,Yes,No,0,0,1.1914357810313496,0.38575721078748143,-1.8102088021174125,0.7071067811865444,2.003075478211317,1.7868542247296524,0.7106701123048221,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.3393298876951777,Not selected for first-pass MD
A5,Molecule 5,A5,FCCn1c(=O)n(c2c1cnc(n2)c1ccccc1)CC(=O)N(Cc1ccc(cc1F)F)CC,469.46,-1.192,-3.802,No,Yes,No,Discordant,Concordant unfavorable,2.74,73.02,-5.35,3.42,No,No,Yes,No,0,0,-0.25039908447774856,-2.0379429456651934,0.9329823600235532,0.7071067811865444,0.8651156550414341,-1.0006383658486129,-0.1306292666233372,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,-0.8306292666233371,Not selected for first-pass MD
A6,Molecule 6,A6,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1cc(F)ccc1F,437.44,-0.996,-3.55,Yes,Yes,No,Discordant,Discordant,2.21,73.02,-5.14,3.24,Yes,No,Yes,No,0,0,0.50724068399352,-1.5123212249887092,-0.5724274240781968,0.7071067811865444,1.493988188898475,0.9291641968594154,0.2587918669785081,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.7912081330214917,Not selected for first-pass MD
A7,Molecule 7,A7,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C(F)F)Cc1cc(F)ccc1F,473.42,-1.274,-3.534,No,Yes,No,Discordant,Concordant unfavorable,2.93,73.02,-5.8,3.34,No,No,Yes,No,0,0,-0.5673708243483816,-1.4789484173267102,0.297364895625037,0.7071067811865444,-0.4824683460807968,-0.142948337978376,-0.2778773748204472,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,-0.9778773748204472,MD comparator: PBPK exposure-maximized stress test
A8,Molecule 8,A8,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1cc(Cl)ccc1Cl,470.35,-0.931,-2.339,Yes,Yes,No,Discordant,Concordant favorable,2.68,73.02,-6.01,3.26,Yes,No,Yes,No,0,0,0.7584987704763384,1.0135831549288374,0.9998894615391866,0.7071067811865444,-1.1113408799378375,0.7147416898918609,0.5137464963474884,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.5362535036525115,Not selected for first-pass MD
A9,Molecule 9,A9,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)OC(F)(F)F,485.46,-1.553,-2.647,No,Yes,No,Discordant,Concordant unfavorable,2.48,82.25,-5.88,3.31,Yes,No,Yes,No,0,0,-1.6458478417130955,0.37115660743535756,0.3308184463828529,-1.4142135623730985,-0.7220388351691935,0.17868542247296046,-0.4835732938273695,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,-1.8835732938273695,Not selected for first-pass MD
A10,Molecule 10,A10,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)CC(F)(F)F)Cc1ccc(cc1)OC,499.48,-1.553,-2.71,No,Yes,No,Discordant,Concordant unfavorable,2.62,82.25,-5.78,3.43,No,No,Yes,Yes,0,0,-1.6458478417130955,0.23975117726623627,0.7991681569922865,-1.4142135623730985,-0.42257572380869896,-1.1078496193323948,-0.5919279021614609,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,-1.9919279021614607,Not selected for first-pass MD
