Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)OC(F)(F)F,C24H22F3N5O3,485.46,35,21,0.25,9,8,0,123.24,82.25,n/d,5.05,4.85,2.27,-2.26,2.48,-5.88,6.38e-04,1.31e-06,Moderately soluble,-6.52,1.47e-04,3.03e-07,Poorly soluble,-7.26,2.67e-05,5.51e-08,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.68,0,1,0,0,1,0.55,0,0,3,3.31
Molecule 2,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)OC(F)F,C24H23F2N5O3,467.47,34,21,0.25,9,7,0,123.15,82.25,n/d,4.79,4.14,2.16,-2.40,2.17,-5.62,1.12e-03,2.40e-06,Moderately soluble,-6.25,2.63e-04,5.64e-07,Poorly soluble,-7.00,4.69e-05,1.00e-07,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.75,0,0,0,0,0,0.55,0,0,3,3.31
Molecule 3,CCN(C(=O)Cn1c2nc(ncc2n(c1=O)CC(F)(F)F)c1ccccc1)Cc1ccccc1,C24H22F3N5O2,469.46,34,21,0.25,9,7,0,121.56,73.02,n/d,4.91,4.98,2.79,-1.94,2.68,-5.71,9.22e-04,1.96e-06,Moderately soluble,-6.18,3.10e-04,6.61e-07,Poorly soluble,-7.55,1.31e-05,2.80e-08,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.68,0,0,0,0,0,0.55,0,0,3,3.32
Molecule 4,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)F,C23H22FN5O2,419.45,31,21,0.22,7,5,0,116.52,73.02,n/d,3.96,3.25,2.64,-2.48,1.84,-4.97,4.45e-03,1.06e-05,Moderately soluble,-5.19,2.68e-03,6.40e-06,Moderately soluble,-6.98,4.41e-05,1.05e-07,Poorly soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.05,0,0,0,0,0,0.55,0,0,2,3.16
Molecule 5,FCCn1c(=O)n(c2c1cnc(n2)c1ccccc1)CC(=O)N(Cc1ccc(cc1F)F)CC,C24H22F3N5O2,469.46,34,21,0.25,9,7,0,121.33,73.02,n/d,4.34,4.67,3.32,-1.35,2.74,-5.35,2.11e-03,4.49e-06,Moderately soluble,-5.59,1.21e-03,2.58e-06,Moderately soluble,-7.91,5.79e-06,1.23e-08,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.08,0,0,0,0,0,0.55,0,0,3,3.42
Molecule 6,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1cc(F)ccc1F,C23H21F2N5O2,437.44,32,21,0.22,7,6,0,116.47,73.02,n/d,4.07,3.81,3.01,-2.05,2.21,-5.14,3.17e-03,7.25e-06,Moderately soluble,-5.31,2.15e-03,4.92e-06,Moderately soluble,-7.24,2.52e-05,5.75e-08,Poorly soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.08,0,0,0,0,0,0.55,0,0,2,3.24
Molecule 7,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C(F)F)Cc1cc(F)ccc1F,C23H19F4N5O2,473.42,34,21,0.22,8,8,0,116.58,73.02,n/d,4.92,5.19,3.22,-1.62,2.93,-5.80,7.44e-04,1.57e-06,Moderately soluble,-6.19,3.06e-04,6.45e-07,Poorly soluble,-7.42,1.79e-05,3.78e-08,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.69,0,0,0,0,0,0.55,0,0,3,3.34
Molecule 8,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1cc(Cl)ccc1Cl,C23H21Cl2N5O2,470.35,32,21,0.22,7,4,0,126.58,73.02,n/d,5.12,4.00,3.22,-1.61,2.68,-6.01,4.65e-04,9.88e-07,Poorly soluble,-6.40,1.88e-04,4.00e-07,Poorly soluble,-7.88,6.20e-06,1.32e-08,Poorly soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.53,0,0,0,0,1,0.55,0,0,2,3.26
Molecule 9,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)C)Cc1ccc(cc1)OC(F)(F)F,C24H22F3N5O3,485.46,35,21,0.25,9,8,0,123.24,82.25,n/d,5.05,4.85,2.27,-2.26,2.48,-5.88,6.38e-04,1.31e-06,Moderately soluble,-6.52,1.47e-04,3.03e-07,Poorly soluble,-7.26,2.67e-05,5.51e-08,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.68,0,1,0,0,1,0.55,0,0,3,3.31
Molecule 10,CCN(C(=O)Cn1c(=O)n(c2c1nc(nc2)c1ccccc1)CC(F)(F)F)Cc1ccc(cc1)OC,C25H24F3N5O3,499.48,36,21,0.28,10,8,0,128.05,82.25,n/d,4.88,4.99,2.47,-1.85,2.62,-5.78,8.23e-04,1.65e-06,Moderately soluble,-6.34,2.27e-04,4.55e-07,Poorly soluble,-7.65,1.12e-05,2.25e-08,Poorly soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.88,0,1,0,0,0,0.55,0,0,3,3.43
