ligand_id,scenario,score,rank
"emap2_Bn-3,4diF_CHF2",baseline,1.4418936950549583,1
emap2_Bn_CH2CF3,baseline,0.6760676978230241,2
"emap2_Bn-3,4diF_Me",baseline,0.6613186244151382,3
emap3_Bn-3Cl_CH2F,baseline,0.549941307384856,4
emap3_Bn-3F_CH2CH2CF3,baseline,0.4450375395814892,5
"emap3_Bn-3,4diCl_Me",baseline,0.40561608229226126,6
"emap2_Bn-3,4diCl_Me",baseline,0.3447319988145074,7
emap3_Bn-3CF3_4F_Me,baseline,0.3031164051009023,8
"emap3_Bn-3,5diF_nPr",baseline,-0.03888494736695891,9
"emap2_Bn-3,5diF_CH2CH2F",baseline,-0.12085782483389015,10
emap2_Bn-4F_Me,baseline,-0.2970102130486887,11
emap3_Bn-3F_4OMe_CH2CHF2,baseline,-0.5519896448289887,12
emap3_Bn_OCH2CF3,baseline,-0.5521393731061477,13
emap2_Bn-4OCF3_Me,baseline,-0.5964070622139506,14
emap_Bn-4OCF3_Me,baseline,-0.7283594758602829,15
emap2_Bn-4OMe_CH2CF3,baseline,-0.8939707528399351,16
emap_Bn-4OCHF2_Me,baseline,-1.0481040563682815,17
"emap2_Bn-3,4diF_CHF2",equal_weights,1.293525749051966,1
emap2_Bn_CH2CF3,equal_weights,0.7986028488083888,2
"emap2_Bn-3,4diF_Me",equal_weights,0.5716201540347459,3
emap3_Bn-3F_CH2CH2CF3,equal_weights,0.45094980460901707,4
"emap3_Bn-3,4diCl_Me",equal_weights,0.3950415879345365,5
emap3_Bn-3Cl_CH2F,equal_weights,0.3799649713037778,6
"emap2_Bn-3,4diCl_Me",equal_weights,0.2935681154716134,7
emap3_Bn-3CF3_4F_Me,equal_weights,0.22583320373299975,8
"emap2_Bn-3,5diF_CH2CH2F",equal_weights,-0.07025378367476105,9
"emap3_Bn-3,5diF_nPr",equal_weights,-0.11006254991046044,10
emap2_Bn-4F_Me,equal_weights,-0.24173109579361934,11
emap3_Bn_OCH2CF3,equal_weights,-0.4875188631783033,12
emap2_Bn-4OCF3_Me,equal_weights,-0.4942903117436108,13
emap3_Bn-3F_4OMe_CH2CHF2,equal_weights,-0.5462082564046473,14
emap_Bn-4OCF3_Me,equal_weights,-0.7142110011541647,15
emap2_Bn-4OMe_CH2CF3,equal_weights,-0.7627377343858723,16
emap_Bn-4OCHF2_Me,equal_weights,-0.9820928387015909,17
"emap2_Bn-3,4diF_CHF2",leave_out_BP60,1.2240078802743501,1
"emap2_Bn-3,4diF_Me",leave_out_BP60,0.8160320956693004,2
emap2_Bn_CH2CF3,leave_out_BP60,0.7389805105552871,3
emap3_Bn-3Cl_CH2F,leave_out_BP60,0.42670180958016046,4
emap3_Bn-3F_CH2CH2CF3,leave_out_BP60,0.23776671645488254,5
"emap3_Bn-3,4diCl_Me",leave_out_BP60,0.17876837550727007,6
"emap2_Bn-3,4diCl_Me",leave_out_BP60,0.09179111339619309,7
emap3_Bn-3CF3_4F_Me,leave_out_BP60,0.045151640347659255,8
emap2_Bn-4F_Me,leave_out_BP60,0.011437636440640844,9
"emap2_Bn-3,5diF_CH2CH2F",leave_out_BP60,-0.0017545179477178527,10
"emap3_Bn-3,5diF_nPr",leave_out_BP60,-0.09825053024266014,11
emap3_Bn_OCH2CF3,leave_out_BP60,-0.45394692839013306,12
emap2_Bn-4OCF3_Me,leave_out_BP60,-0.45889684356780325,13
emap3_Bn-3F_4OMe_CH2CHF2,leave_out_BP60,-0.5052077926519984,14
emap_Bn-4OCF3_Me,leave_out_BP60,-0.6474002916339923,15
emap2_Bn-4OMe_CH2CF3,leave_out_BP60,-0.753570137149152,16
emap_Bn-4OCHF2_Me,leave_out_BP60,-0.8516107366422665,17
