Final_Canonical_ID,Primary_Legacy_ID,All_ADMET_Rows,Canonical_SMILES,InChIKey,Number_of_ADMET_Runs,Duplicate_Prediction_Consistency,BBB_Assessment,Pgp_Assessment,Safety_Assessment,Medicinal_Chemistry_Alerts,Synthetic_Accessibility_Status,Canonical_ADMET_Conclusion
TSPO-C01,A1,"A1, A9",CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,RYAVPURPEWUCGR-UHFFFAOYSA-N,2,Concordant duplicate predictions,Concordant nonsupportive,Discordant,Ames; hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C02,A2,A2,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,JYGZVVWKPOSECN-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,Ames; hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C03,A3,A3,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,IVVCXQQZEMWNOK-UHFFFAOYSA-N,1,Single prediction record,Discordant,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
TSPO-C04,A4,A4,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,FBNPWDKOHCTAFT-UHFFFAOYSA-N,1,Single prediction record,Concordant supportive,Discordant,Ames; hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C05,A5,A5,CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,JZWMBORVCJYGRM-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
TSPO-C06,A6,A6,CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,ROISXNCPSSLCOO-UHFFFAOYSA-N,1,Single prediction record,Discordant,Discordant,Ames; hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C07,A7,A7,CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,WGQOACSSQOYZLN-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
TSPO-C08,A8,"A8, A15",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,SKIRNMQWXSZAMC-UHFFFAOYSA-N,2,Discordant duplicate predictions,Concordant supportive,Discordant,Duplicate runs disagree: Ames; hERG II | hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Prediction instability for identical structure; do not select favorable duplicate result
TSPO-C09,A10,A10,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,CRJOUMHDHKDKMB-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II; Hepatotoxicity,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C10,A11,A11,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(COC(F)(F)F)c2cnc(-c3ccccc3)nc21,QJCBKXCGKKCQEH-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
TSPO-C11,A12,A12,CCN(Cc1cccc(F)c1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,ZYDUWLRQXDFWQH-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II; Hepatotoxicity,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C12,A13,A13,CCN(Cc1cccc(Cl)c1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,MKUDPGPAVJRDEW-UHFFFAOYSA-N,1,Single prediction record,Discordant,Discordant,hERG II; Hepatotoxicity,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
TSPO-C13,A14,A14,CCCn1c(=O)n(CC(=O)N(CC)Cc2ccc(F)cc2F)c2nc(-c3ccccc3)ncc21,XBLUWJWIYJRLOW-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
TSPO-C14,A16,A16,CCN(Cc1cc(OC)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,VTEVIRHJCWWDGU-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
TSPO-C15,A17,A17,CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,BMDVLVHNGCQESR-UHFFFAOYSA-N,1,Single prediction record,Concordant nonsupportive,Discordant,hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed or model-discordant predicted profile
REF-AC5216,AC-5216,AC-5216,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,NBMBIEOUVBHEBM-UHFFFAOYSA-N,1,Single prediction record,Concordant supportive,Discordant,Ames; hERG II,PAINS 0; Brenk 0,Reported separately; not part of ADMET conclusion,Mixed/higher modeled safety concern; experimental confirmation required
