Final_Canonical_ID,Canonical_Legacy_ID,Legacy_ID,Original_Enumeration_Label,All_Enumeration_Labels_for_Structure,All_Legacy_Aliases,Canonical_SMILES,InChIKey,Duplicate_Structure,Duplicate_Disposition,PBPK_File,PBPK_Master_Row,SwissADME_Row,ADMET_Legacy_Row,Docking_Source_Row,MD_Folder_Current,MD_Folder_Proposed_Final,Retained_Excluded_Status,Audit_Notes
TSPO-C01,A1,A1,emap_Bn-4OCF3_Me,emap_Bn-4OCF3_Me; emap2_Bn-4OCF3_Me,"A1, A9",CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,RYAVPURPEWUCGR-UHFFFAOYSA-N,Yes,Canonical retained,Analog1_PKSim.xlsx,2,Molecule 1,A1,passed_log row 2; PKMASTER row 2,Not run,Not run,Retained unique compound,Exact duplicate inputs/curves confirmed
TSPO-C02,A2,A2,emap_Bn-4OCHF2_Me,emap_Bn-4OCHF2_Me,A2,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,JYGZVVWKPOSECN-UHFFFAOYSA-N,No,Canonical retained,Analog2_PKSim.xlsx,3,Molecule 2,A2,passed_log row 3; PKMASTER row 3,Not run,Not run,Retained unique compound,
TSPO-C03,A3,A3,emap2_Bn_CH2CF3,emap2_Bn_CH2CF3,A3,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,IVVCXQQZEMWNOK-UHFFFAOYSA-N,No,Canonical retained,Analog3_PKSim.xlsx,4,Molecule 3,A3,passed_log row 4; PKMASTER row 4,md/A3/setup_001,md/TSPO-C03__legacy-A3,Retained unique compound,
TSPO-C04,A4,A4,emap2_Bn-4F_Me,emap2_Bn-4F_Me,A4,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,FBNPWDKOHCTAFT-UHFFFAOYSA-N,No,Canonical retained,Analog4_PKSim.xlsx,5,Molecule 4,A4,passed_log row 5; PKMASTER row 5,Not run,Not run,Retained unique compound,
TSPO-C05,A5,A5,"emap2_Bn-3,5diF_CH2CH2F","emap2_Bn-3,5diF_CH2CH2F",A5,CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,JZWMBORVCJYGRM-UHFFFAOYSA-N,No,Canonical retained,Analog5_PKSim.xlsx,6,Molecule 5,A5,passed_log row 6; PKMASTER row 6,Not run,Not run,Retained unique compound,
TSPO-C06,A6,A6,"emap2_Bn-3,4diF_Me","emap2_Bn-3,4diF_Me",A6,CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,ROISXNCPSSLCOO-UHFFFAOYSA-N,No,Canonical retained,Analog6_PKSim.xlsx,7,Molecule 6,A6,passed_log row 7; PKMASTER row 7,Not run,Not run,Retained unique compound,
TSPO-C07,A7,A7,"emap2_Bn-3,4diF_CHF2","emap2_Bn-3,4diF_CHF2",A7,CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,WGQOACSSQOYZLN-UHFFFAOYSA-N,No,Canonical retained,Analog7_PKSim.xlsx,8,Molecule 7,A7,passed_log row 8; PKMASTER row 8,md/A7/setup_001,md/TSPO-C07__legacy-A7,Retained unique compound,
TSPO-C08,A8,A8,"emap2_Bn-3,4diCl_Me","emap2_Bn-3,4diCl_Me; emap3_Bn-3,4diCl_Me","A8, A15",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,SKIRNMQWXSZAMC-UHFFFAOYSA-N,Yes,Canonical retained,Analog8_PKSim.xlsx,9,Molecule 8,A8,passed_log row 9; PKMASTER row 9,Not run,Not run,Retained unique compound,Exact duplicate inputs/curves confirmed
TSPO-C01,A1,A9,emap2_Bn-4OCF3_Me,emap_Bn-4OCF3_Me; emap2_Bn-4OCF3_Me,"A1, A9",CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,RYAVPURPEWUCGR-UHFFFAOYSA-N,Yes,Duplicate alias—do not count independently,Analog9_PKSim.xlsx,10,Molecule 9,A9,passed_log row 10; PKMASTER row 10,Not run,Not run,Retired duplicate alias of A1,Exact duplicate inputs/curves confirmed
TSPO-C09,A10,A10,emap2_Bn-4OMe_CH2CF3,emap2_Bn-4OMe_CH2CF3,A10,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,CRJOUMHDHKDKMB-UHFFFAOYSA-N,No,Canonical retained,Analog10_PKSim.xlsx,11,Molecule 10,A10,passed_log row 11; PKMASTER row 11,Not run,Not run,Retained unique compound,
