Final_Canonical_ID,Primary_Legacy_ID,All_Legacy_Aliases,All_Original_Enumeration_Labels,Canonical_SMILES,InChIKey,Number_of_Records,Compound_Type,Status,Action
TSPO-C01,A1,"A1, A9",emap_Bn-4OCF3_Me; emap2_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,RYAVPURPEWUCGR-UHFFFAOYSA-N,2,Novel analog,Retained,Consolidate duplicate records
TSPO-C02,A2,A2,emap_Bn-4OCHF2_Me,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,JYGZVVWKPOSECN-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C03,A3,A3,emap2_Bn_CH2CF3,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,IVVCXQQZEMWNOK-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C04,A4,A4,emap2_Bn-4F_Me,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,FBNPWDKOHCTAFT-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C05,A5,A5,"emap2_Bn-3,5diF_CH2CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,JZWMBORVCJYGRM-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C06,A6,A6,"emap2_Bn-3,4diF_Me",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,ROISXNCPSSLCOO-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C07,A7,A7,"emap2_Bn-3,4diF_CHF2",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,WGQOACSSQOYZLN-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C08,A8,"A8, A15","emap2_Bn-3,4diCl_Me; emap3_Bn-3,4diCl_Me",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,SKIRNMQWXSZAMC-UHFFFAOYSA-N,2,Novel analog,Retained,Consolidate duplicate records
TSPO-C09,A10,A10,emap2_Bn-4OMe_CH2CF3,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,CRJOUMHDHKDKMB-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C10,A11,A11,emap3_Bn_OCH2CF3,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(COC(F)(F)F)c2cnc(-c3ccccc3)nc21,QJCBKXCGKKCQEH-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C11,A12,A12,emap3_Bn-3F_CH2CH2CF3,CCN(Cc1cccc(F)c1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,ZYDUWLRQXDFWQH-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C12,A13,A13,emap3_Bn-3Cl_CH2F,CCN(Cc1cccc(Cl)c1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,MKUDPGPAVJRDEW-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C13,A14,A14,"emap3_Bn-3,5diF_nPr",CCCn1c(=O)n(CC(=O)N(CC)Cc2ccc(F)cc2F)c2nc(-c3ccccc3)ncc21,XBLUWJWIYJRLOW-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C14,A16,A16,emap3_Bn-3F_4OMe_CH2CHF2,CCN(Cc1cc(OC)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,VTEVIRHJCWWDGU-UHFFFAOYSA-N,1,Novel analog,Retained,
TSPO-C15,A17,A17,emap3_Bn-3CF3_4F_Me,CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,BMDVLVHNGCQESR-UHFFFAOYSA-N,1,Novel analog,Retained,
REF-AC5216,AC-5216,AC-5216,AC5216,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,NBMBIEOUVBHEBM-UHFFFAOYSA-N,1,Reference,Retained,
