Time [h],PeripheralVenousBlood-Analog3-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog3-Concentration in container [µmol/l],Brain-Analog3-Tissue [µmol/l],Liver-Analog3-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog3-Concentration in container [µmol/l],Brain-Interstitial-Analog3-Concentration in container [µmol/l],Brain-BloodCells-Analog3-Concentration in container [µmol/l],Brain-Plasma-Analog3-Concentration in container [µmol/l],PeripheralVenousBlood-Analog3-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog3-Whole Blood [µmol/l]
0,0,0,0,0,0,0,0,0,0,0
0.001666667,0.0001019263,0.00754557,0.0000003045962,0.00002362841,0.0000000005409956,0.00007304981,0.0004677956,0.002986536,0.00008344925,0.004556812
0.003333333,0.0004118186,0.01179988,0.000002045866,0.0001150449,0.000000008485763,0.0004894891,0.00216086,0.008335653,0.0003907791,0.007682871
0.005,0.0007654445,0.01115006,0.000004618593,0.0002356296,0.00000003345962,0.001101612,0.003369763,0.01046518,0.0007473061,0.007582904
0.006666667,0.001066911,0.008979475,0.00000687084,0.0003516623,0.00000007697888,0.001632302,0.00354058,0.009828731,0.00101883,0.006274511
0.008333334,0.001295082,0.006925201,0.000008307577,0.0004528651,0.0000001341796,0.001963793,0.003137757,0.008162539,0.001187185,0.004928625
0.01,0.001459055,0.00539733,0.000008958772,0.0005401241,0.0000001987087,0.002104804,0.002602054,0.006502389,0.00127982,0.003889279
0.01166667,0.001574225,0.00434683,0.000009044978,0.0006170663,0.000000265379,0.002109564,0.002129254,0.005193255,0.001326335,0.003155765
0.01333333,0.001653964,0.003631562,0.000008788061,0.0006869166,0.0000003307792,0.002032193,0.001763791,0.004247639,0.001346932,0.002645643
0.015,0.001708095,0.00313262,0.000008351118,0.000751877,0.0000003929906,0.001912333,0.001493094,0.003579628,0.001353271,0.002283843
0.01666667,0.001743493,0.002771625,0.000007838084,0.0008133062,0.0000004511057,0.001775173,0.001293285,0.003102332,0.001351609,0.002019095
0.01833333,0.001765007,0.002500256,0.000007310412,0.0008720204,0.0000005048302,0.001635546,0.001143637,0.002751632,0.001345253,0.001818872
0.02,0.001776065,0.002289464,0.000006801457,0.0009284976,0.0000005542271,0.001501451,0.00102925,0.002485765,0.001335926,0.001663041
0.02166667,0.001779167,0.00212102,0.000006328214,0.000983023,0.000000599541,0.001376913,0.0009398836,0.002278056,0.001324577,0.001538626
0.02333333,0.001776147,0.001983221,0.000005897788,0.001035762,0.0000006411048,0.001263559,0.0008686102,0.002111554,0.001311747,0.001437101
0.025,0.001768385,0.001868135,0.000005511909,0.001086814,0.0000006792789,0.001161719,0.0008106248,0.001974996,0.001297778,0.001352595
0.02666667,0.001756931,0.001770253,0.000005169279,0.001136232,0.0000007144206,0.001070994,0.0007625435,0.001860699,0.001282906,0.001280981
0.02833333,0.001742586,0.001685722,0.000004866912,0.001184047,0.0000007468686,0.0009905872,0.0007219848,0.001763386,0.001267305,0.001219349
0.03,0.001725977,0.001611735,0.000004601157,0.001230273,0.0000007769331,0.0009195468,0.0006872198,0.001679258,0.001251118,0.001165572
0.03166667,0.001707594,0.001546245,0.000004368133,0.001274919,0.0000008048933,0.0008568732,0.0006569978,0.001605583,0.001234465,0.001118097
0.03333334,0.001687822,0.001487791,0.000004163951,0.001317989,0.0000008309979,0.0008015729,0.000630435,0.001540436,0.00121745,0.001075813
0.035,0.00166697,0.001435253,0.00000398502,0.001359489,0.000000855465,0.0007527311,0.0006068675,0.001482363,0.001200167,0.001037873
0.03666667,0.001645302,0.001387697,0.000003828204,0.001399427,0.0000008784849,0.0007095485,0.0005857528,0.001430151,0.001182701,0.001003574
0.03833333,0.001623033,0.001344384,0.000003690694,0.001437813,0.0000009002235,0.0006713108,0.0005666729,0.001382856,0.001165132,0.0009723633
0.04,0.00160034,0.001304759,0.000003569958,0.001474662,0.0000009208262,0.0006373748,0.0005493197,0.001339781,0.001147524,0.0009438249
0.04166667,0.001577368,0.001268388,0.000003463751,0.00150999,0.0000009404197,0.0006071707,0.0005334636,0.001300398,0.001129937,0.0009176381
0.04333333,0.001554238,0.00123492,0.00000337013,0.001543816,0.0000009591138,0.0005802057,0.0005189226,0.001264284,0.001112424,0.0008935424
0.045,0.001531053,0.001204048,0.000003287443,0.001576163,0.0000009770039,0.0005560599,0.0005055431,0.00123107,0.001095029,0.0008713131
0.04666667,0.001507898,0.001175522,0.000003214257,0.001607057,0.0000009941729,0.0005343693,0.0004932045,0.001200464,0.001077794,0.0008507686
0.04833334,0.001484855,0.001149083,0.000003149401,0.001636526,0.000001010693,0.0005148352,0.0004817804,0.001172159,0.001060754,0.0008317219
0.05,0.00146198,0.001124572,0.000003091788,0.001664599,0.000001026628,0.0004971815,0.0004711999,0.001145976,0.001043939,0.0008140566
0.05166667,0.001439336,0.001101753,0.000003040594,0.00169131,0.000001042033,0.0004811964,0.0004613461,0.00112163,0.001027375,0.0007976025
0.05333333,0.001416965,0.001080513,0.000002995001,0.00171669,0.000001056957,0.000466672,0.0004521739,0.001099006,0.001011082,0.0007822785
0.055,0.001394909,0.001060679,0.00000295437,0.001740776,0.000001071445,0.0004534442,0.0004436,0.001077897,0.0009950799,0.00076796
0.05666667,0.001373196,0.001042157,0.000002918099,0.001763601,0.000001085534,0.0004413592,0.000435588,0.001058209,0.0009793817,0.0007545805
0.05833333,0.001351855,0.001024837,0.000002885676,0.001785201,0.000001099258,0.0004302862,0.0004280899,0.001039821,0.0009639995,0.0007420614
0.06,0.001330903,0.001008632,0.000002856671,0.001805612,0.000001112649,0.0004201141,0.0004210694,0.001022636,0.0009489422,0.0007303397
0.06166667,0.00131036,0.0009934551,0.000002830704,0.00182487,0.000001125732,0.0004107453,0.0004144915,0.001006564,0.0009342167,0.0007193555
0.06333333,0.001290237,0.0009792218,0.000002807462,0.001843012,0.000001138531,0.0004020991,0.0004083191,0.0009915093,0.0009198282,0.0007090477
0.06500001,0.001270546,0.0009658581,0.000002786667,0.001860075,0.000001151069,0.0003941034,0.0004025208,0.0009773914,0.0009057799,0.0006993639
0.06666667,0.001251296,0.000953287,0.00000276808,0.001876094,0.000001163364,0.0003866965,0.000397062,0.0009641235,0.0008920736,0.0006902487
0.06833334,0.001232492,0.0009414484,0.000002751486,0.001891105,0.000001175434,0.000379822,0.0003919177,0.0009516414,0.0008787091,0.0006816597
0.07,0.001214137,0.0009302826,0.000002736686,0.001905144,0.000001187295,0.0003734287,0.0003870616,0.0009398792,0.0008656856,0.0006735537
0.07166667,0.001196232,0.0009197393,0.000002723513,0.001918245,0.000001198961,0.0003674725,0.0003824727,0.000928783,0.0008530009,0.000665895
0.07333334,0.001178776,0.0009097744,0.000002711801,0.001930442,0.000001210446,0.0003619109,0.0003781332,0.0009183073,0.0008406519,0.0006586524
0.075,0.001161768,0.0009003439,0.000002701421,0.001941768,0.000001221762,0.0003567099,0.0003740242,0.0009084034,0.0008286349,0.0006517943
0.07666667,0.001145202,0.0008914094,0.00000269225,0.001952257,0.000001232919,0.000351837,0.0003701301,0.0008990312,0.0008169456,0.0006452937
0.07833333,0.001129076,0.0008829326,0.000002684182,0.001961939,0.000001243928,0.000347265,0.0003664342,0.0008901483,0.0008055789,0.0006391231
0.08000001,0.001113383,0.0008748785,0.000002677124,0.001970847,0.000001254796,0.0003429689,0.0003629218,0.0008817173,0.0007945294,0.0006332576
0.08166667,0.001098118,0.0008672155,0.000002670989,0.00197901,0.000001265534,0.0003389261,0.0003595789,0.0008737035,0.0007837912,0.0006276743
0.08333334,0.001083273,0.000859914,0.000002665699,0.001986458,0.000001276148,0.0003351159,0.0003563931,0.0008660755,0.000773358,0.0006223523
0.085,0.001068842,0.0008529485,0.000002661181,0.001993219,0.000001286645,0.0003315189,0.0003533534,0.000858806,0.0007632234,0.0006172731
0.08666667,0.001054817,0.0008462945,0.000002657369,0.001999322,0.000001297031,0.0003281183,0.0003504495,0.0008518687,0.0007533806,0.0006124192
0.08833334,0.001041188,0.0008399308,0.000002654204,0.002004793,0.000001307314,0.0003248976,0.0003476726,0.0008452414,0.0007438227,0.0006077756
0.09,0.001027947,0.0008338366,0.000002651631,0.002009658,0.000001317498,0.0003218431,0.0003450137,0.0008389014,0.0007345427,0.0006033273
0.09166667,0.001015086,0.0008279927,0.000002649603,0.002013942,0.000001327587,0.000318942,0.0003424648,0.0008328286,0.0007255336,0.0005990607
0.09333333,0.001002595,0.0008223816,0.000002648077,0.002017671,0.000001337588,0.0003161826,0.0003400183,0.000827004,0.0007167883,0.000594963
0.095,0.0009904651,0.000816987,0.000002647012,0.002020867,0.000001347504,0.0003135544,0.0003376671,0.0008214098,0.0007082997,0.0005910225
0.09666667,0.0009786866,0.0008117944,0.000002646372,0.002023553,0.000001357339,0.0003110474,0.0003354054,0.0008160314,0.0007000607,0.0005872292
0.09833334,0.0009672508,0.000806789,0.000002646122,0.00202575,0.000001367096,0.000308653,0.0003332264,0.0008108522,0.0006920641,0.000583572
0.1,0.0009561483,0.0008019572,0.000002646234,0.002027482,0.00000137678,0.0003063631,0.0003311239,0.0008058575,0.0006843029,0.000580041
0.1016667,0.0009453691,0.0007972902,0.000002646677,0.002028767,0.000001386393,0.0003041695,0.0003290952,0.0008010389,0.00067677,0.0005766305
0.1033333,0.0009349047,0.0007927743,0.000002647426,0.002029625,0.000001395939,0.0003020658,0.0003271333,0.0007963809,0.0006694588,0.00057333
0.105,0.0009247466,0.000788397,0.000002648458,0.002030076,0.000001405419,0.0003000456,0.0003252326,0.0007918697,0.0006623624,0.0005701306
0.1066667,0.0009148843,0.0007841541,0.000002649749,0.002030138,0.000001414837,0.0002981026,0.0003233922,0.0007875019,0.0006554741,0.0005670295
0.1083333,0.0009053098,0.0007800337,0.00000265128,0.002029828,0.000001424194,0.0002962315,0.0003216065,0.0007832642,0.0006487875,0.0005640179
0.11,0.0008960146,0.0007760266,0.000002653031,0.002029163,0.000001433494,0.0002944272,0.0003198711,0.0007791465,0.0006422964,0.0005610891
0.1116667,0.0008869896,0.0007721271,0.000002654986,0.002028159,0.000001442738,0.0002926852,0.0003181839,0.000775143,0.0006359942,0.0005582392
0.1133333,0.0008782263,0.0007683286,0.000002657127,0.002026832,0.000001451928,0.000291001,0.0003165421,0.0007712468,0.0006298748,0.0005554633
0.115,0.0008697165,0.0007646241,0.00000265944,0.002025197,0.000001461066,0.0002893705,0.0003149426,0.0007674504,0.0006239324,0.0005527564
0.1166667,0.0008614521,0.0007610079,0.000002661912,0.002023269,0.000001470154,0.0002877901,0.0003133829,0.0007637477,0.0006181611,0.0005501144
