ligand_id,logD7.4_est,TPSA,E_dock
emap_Bn_Me,2.237,73.02,-5.638
emap_Bn_Et,2.72,73.02,-5.47
emap_Bn_CH2F,2.627,73.02,-5.548
emap_Bn_CH2CH2F,2.67,73.02,-5.354
emap_Bn-4F_Me,2.376,73.02,-5.763
emap_Bn-4F_Et,2.859,73.02,-5.337
emap_Bn-4F_CH2F,2.766,73.02,-6.373
emap_Bn-4F_CH2CH2F,2.809,73.02,-5.437
emap_Bn-4CF3_Me,3.256,73.02,-5.947
emap_Bn-4CF3_Et,3.739,73.02,-5.725
emap_Bn-4CF3_CH2F,3.646,73.02,-5.378
emap_Bn-4CF3_CH2CH2F,3.689,73.02,-5.978
emap_Bn-4OCF3_Me,3.059,82.25,-6.552
emap_Bn-4OCF3_Et,3.542,82.25,-6.384
emap_Bn-4OCF3_CH2F,3.449,82.25,-6.179
emap_Bn-4OCF3_CH2CH2F,3.491,82.25,-6.326
emap_Bn-4OMe_Me,2.169,82.25,-6.225
emap_Bn-4OMe_Et,2.652,82.25,-5.479
emap_Bn-4OMe_CH2F,2.559,82.25,-5.956
emap_Bn-4OMe_CH2CH2F,2.601,82.25,-5.315
emap_Bn-4OCHF2_Me,2.762,82.25,-6.544
emap_Bn-4OCHF2_Et,3.245,82.25,-6.189
emap_Bn-4OCHF2_CH2F,3.152,82.25,-6.071
emap_Bn-4OCHF2_CH2CH2F,3.194,82.25,-6.289
emap_Bn-4CN_Me,1.911,96.81,-5.387
emap_Bn-4CN_Et,2.394,96.81,-5.546
emap_Bn-4CN_CH2F,2.301,96.81,-2.474
emap_Bn-4CN_CH2CH2F,2.343,96.81,-5.37
emap2_Bn_Me,2.237,73.02,-5.22
emap2_Bn_Et,2.72,73.02,-5.465
emap2_Bn_iPr,3.281,73.02,-5.627
emap2_Bn_cPr,3.035,73.02,-5.457
emap2_Bn_CH2F,2.627,73.02,-5.421
emap2_Bn_CHF2,3.095,73.02,-1.471
emap2_Bn_CH2CH2F,2.67,73.02,-5.268
emap2_Bn_CH2CF3,3.263,73.02,-6.664
emap2_Bn-4F_Me,2.376,73.02,-6.52
emap2_Bn-4F_Et,2.859,73.02,-5.466
emap2_Bn-4F_iPr,3.42,73.02,-5.632
emap2_Bn-4F_cPr,3.174,73.02,-6.338
emap2_Bn-4F_CH2F,2.766,73.02,-5.706
emap2_Bn-4F_CHF2,3.234,73.02,-5.732
emap2_Bn-4F_CH2CH2F,2.809,73.02,-5.573
emap2_Bn-4F_CH2CF3,3.402,73.02,-5.761
"emap2_Bn-3,5diF_Me",2.515,73.02,-6.045
"emap2_Bn-3,5diF_Et",2.998,73.02,-5.654
"emap2_Bn-3,5diF_iPr",3.559,73.02,-6.22
"emap2_Bn-3,5diF_cPr",3.313,73.02,-6.251
"emap2_Bn-3,5diF_CH2F",2.905,73.02,-5.941
"emap2_Bn-3,5diF_CHF2",3.374,73.02,-5.883
"emap2_Bn-3,5diF_CH2CH2F",2.948,73.02,-6.656
"emap2_Bn-3,5diF_CH2CF3",3.541,73.02,-7.028
"emap2_Bn-3,4diF_Me",2.515,73.02,-6.517
"emap2_Bn-3,4diF_Et",2.998,73.02,-6.336
"emap2_Bn-3,4diF_iPr",3.559,73.02,-6.406
"emap2_Bn-3,4diF_cPr",3.313,73.02,-6.188
"emap2_Bn-3,4diF_CH2F",2.905,73.02,-6.058
"emap2_Bn-3,4diF_CHF2",3.374,73.02,-6.533
"emap2_Bn-3,4diF_CH2CH2F",2.948,73.02,-5.535
"emap2_Bn-3,4diF_CH2CF3",3.541,73.02,-6.932
emap2_Bn-4Cl_Me,2.891,73.02,-5.747
emap2_Bn-4Cl_Et,3.374,73.02,-5.646
emap2_Bn-4Cl_iPr,3.935,73.02,-5.7
emap2_Bn-4Cl_cPr,3.689,73.02,-5.577
emap2_Bn-4Cl_CH2F,3.281,73.02,-5.479
emap2_Bn-4Cl_CHF2,3.749,73.02,-5.342
emap2_Bn-4Cl_CH2CH2F,3.323,73.02,-5.462
emap2_Bn-4Cl_CH2CF3,3.916,73.02,-5.795
"emap2_Bn-3,4diCl_Me",3.544,73.02,-6.608
"emap2_Bn-3,4diCl_Et",4.027,73.02,-5.435
"emap2_Bn-3,4diCl_iPr",4.588,73.02,-5.654
"emap2_Bn-3,4diCl_cPr",4.342,73.02,-6.357
"emap2_Bn-3,4diCl_CH2F",3.934,73.02,-6.334
"emap2_Bn-3,4diCl_CHF2",4.402,73.02,-5.641
"emap2_Bn-3,4diCl_CH2CH2F",3.977,73.02,-6.136
"emap2_Bn-3,4diCl_CH2CF3",4.569,73.02,-6.688
emap2_Bn-4Br_Me,3,73.02,-5.772
emap2_Bn-4Br_Et,3.483,73.02,-5.623
emap2_Bn-4Br_iPr,4.044,73.02,-5.592
emap2_Bn-4Br_cPr,3.798,73.02,-5.574
emap2_Bn-4Br_CH2F,3.39,73.02,-5.307
emap2_Bn-4Br_CHF2,3.858,73.02,-5.558
emap2_Bn-4Br_CH2CH2F,3.432,73.02,-5.375
emap2_Bn-4Br_CH2CF3,4.025,73.02,-6.74
emap2_Bn-4CF3_Me,3.256,73.02,-6.194
emap2_Bn-4CF3_Et,3.739,73.02,-5.959
emap2_Bn-4CF3_iPr,4.3,73.02,-6.947
emap2_Bn-4CF3_cPr,4.054,73.02,-5.305
emap2_Bn-4CF3_CH2F,3.646,73.02,-6.924
emap2_Bn-4CF3_CHF2,4.114,73.02,-6.127
emap2_Bn-4CF3_CH2CH2F,3.689,73.02,-5.586
emap2_Bn-4CF3_CH2CF3,4.281,73.02,-6.147
emap2_Bn-4OCF3_Me,3.059,82.25,-6.662
emap2_Bn-4OCF3_Et,3.542,82.25,-6.444
emap2_Bn-4OCF3_iPr,4.103,82.25,-6.629
emap2_Bn-4OCF3_cPr,3.857,82.25,-5.883
emap2_Bn-4OCF3_CH2F,3.449,82.25,-6.465
emap2_Bn-4OCF3_CHF2,3.917,82.25,-6.001
emap2_Bn-4OCF3_CH2CH2F,3.491,82.25,-6.431
emap2_Bn-4OCF3_CH2CF3,4.084,82.25,-6.657
emap2_Bn-4OCHF2_Me,2.762,82.25,-6.285
emap2_Bn-4OCHF2_Et,3.245,82.25,-6.129
emap2_Bn-4OCHF2_iPr,3.806,82.25,-5.045
emap2_Bn-4OCHF2_cPr,3.56,82.25,-5.55
emap2_Bn-4OCHF2_CH2F,3.152,82.25,-6.163
emap2_Bn-4OCHF2_CHF2,3.62,82.25,-5.082
emap2_Bn-4OCHF2_CH2CH2F,3.194,82.25,-6.261
emap2_Bn-4OCHF2_CH2CF3,3.787,82.25,-6.556
emap2_Bn-4OMe_Me,2.169,82.25,-6.076
emap2_Bn-4OMe_Et,2.652,82.25,-5.393
emap2_Bn-4OMe_iPr,3.213,82.25,-6.338
emap2_Bn-4OMe_cPr,2.967,82.25,-5.585
emap2_Bn-4OMe_CH2F,2.559,82.25,-5.387
emap2_Bn-4OMe_CHF2,3.027,82.25,-5.736
emap2_Bn-4OMe_CH2CH2F,2.601,82.25,-5.295
emap2_Bn-4OMe_CH2CF3,3.194,82.25,-6.577
emap2_Bn-4iPr_Me,3.361,73.02,-5.899
emap2_Bn-4iPr_Et,3.844,73.02,-5.69
emap2_Bn-4iPr_iPr,4.405,73.02,-5.739
emap2_Bn-4iPr_cPr,4.159,73.02,-6.687
emap2_Bn-4iPr_CH2F,3.751,73.02,-4.966
emap2_Bn-4iPr_CHF2,4.219,73.02,-5.556
emap2_Bn-4iPr_CH2CH2F,3.793,73.02,-5.451
emap2_Bn-4iPr_CH2CF3,4.386,73.02,-5.792
emap2_Bn-4CF2H_Me,3.175,73.02,-5.196
emap2_Bn-4CF2H_Et,3.658,73.02,-5.576
emap2_Bn-4CF2H_iPr,4.219,73.02,-5.865
