Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0,0,0,0,0,0,0,0,0,0,0
0.001666667,0.0001020665,0.008128219,0.0000003192138,0.0000253138,0.0000000005160817,0.00007656765,0.0004476789,0.003215503,0.00008163229,0.004842285
0.003333333,0.0004248356,0.01300276,0.000002189261,0.000123292,0.000000008225093,0.0005240021,0.001950022,0.009177967,0.0003737628,0.008182993
0.005,0.0008039191,0.0125486,0.000005043877,0.0002534727,0.00000003293509,0.001203912,0.002918356,0.01175612,0.0007006824,0.008102591
0.006666667,0.001133248,0.01029412,0.000007644478,0.0003787861,0.00000007682666,0.001818205,0.002982833,0.01122407,0.0009456673,0.0067342
0.008333334,0.001385537,0.008070015,0.000009402765,0.0004871268,0.000000135565,0.00222658,0.002596545,0.009450823,0.001100659,0.005318376
0.01,0.001568697,0.006380332,0.00001030429,0.00057925,0.0000002029707,0.002427045,0.002129746,0.00762035,0.001192885,0.004222499
0.01166667,0.001699093,0.005200117,0.0000105635,0.0006594154,0.0000002737681,0.002472382,0.001733119,0.006151846,0.001247721,0.003448207
0.01333333,0.001791375,0.004384537,0.00001041302,0.0007315744,0.0000003443298,0.002419348,0.001434039,0.005078385,0.00128119,0.002908807
0.015,0.001856325,0.003806556,0.00001003053,0.000798485,0.0000004124874,0.002311148,0.001216484,0.004311806,0.001302006,0.002524582
0.01666667,0.001901375,0.003381124,0.000009533015,0.0008618506,0.0000004770943,0.002176162,0.001057755,0.003757639,0.001314682,0.002241106
