round,ligand_id,smiles
R1,emap_Bn_Me,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R1,emap_Bn_Et,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R1,emap_Bn_CH2F,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R1,emap_Bn_CH2CH2F,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4F_Me,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4F_Et,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4F_CH2F,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4F_CH2CH2F,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R1,"emap_Bn-3,5diF_Me",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R1,"emap_Bn-3,5diF_Et",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R1,"emap_Bn-3,5diF_CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R1,"emap_Bn-3,5diF_CH2CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4CF3_Me,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4CF3_Et,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4CF3_CH2F,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21
R1,emap_Bn-4CF3_CH2CH2F,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21
