round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R1,emap_Bn_Me,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,401.470,2.846,,2.237,73.020,0,4,6,-3.726,0,-5.638,5.400,
R1,emap_Bn_Et,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,415.497,3.329,,2.720,73.020,0,4,7,-4.051,0,-5.470,5.400,
R1,emap_Bn_CH2F,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,419.460,3.236,,2.627,73.020,0,4,7,-4.017,0,-5.548,5.400,
R1,emap_Bn_CH2CH2F,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,433.487,3.278,,2.670,73.020,0,4,8,-4.065,0,-5.354,5.400,
R1,emap_Bn-4F_Me,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,419.460,2.985,,2.376,73.020,0,4,6,-3.925,0,-5.763,5.400,
R1,emap_Bn-4F_Et,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,433.487,3.468,,2.859,73.020,0,4,7,-4.250,0,-5.337,5.400,
R1,emap_Bn-4F_CH2F,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CF)c2cnc(-c3ccccc3)nc21,437.450,3.375,,2.766,73.020,0,4,7,-4.216,0,-6.373,5.400,
R1,emap_Bn-4F_CH2CH2F,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,451.477,3.417,,2.809,73.020,0,4,8,-4.264,0,-5.437,5.400,
R1,"emap_Bn-3,5diF_Me",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,437.450,3.124,,2.515,73.020,0,4,6,-4.124,0,,5.400,
R1,"emap_Bn-3,5diF_Et",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CC)c2cnc(-c3ccccc3)nc21,451.477,3.607,,2.998,73.020,0,4,7,-4.449,0,,5.400,
