ligand_id,affinity_kcal_per_mol
emap3_Bn-2F_BnCH2,-6.876
emap3_Bn-2F_CH2CF2CF3,-6.437
emap3_Bn-2F_CH2CF2CH2CF3,-6.427
emap3_Bn-2F_CH2CF2CH2CH2F,-6.154
emap3_Bn-2F_CH2CF2CH2CHF2,-6.273
emap3_Bn-2F_CH2CF2CH2F,-6.319
emap3_Bn-2F_CH2CF2H,-6.195
emap3_Bn-2F_CH2CF3,-6.289
emap3_Bn-2F_CH2CH2CF2CF3,-7.100
emap3_Bn-2F_CH2CH2CF2CH2CF3,-6.414
emap3_Bn-2F_CH2CH2CF2CH2CH2CF3,-6.566
emap3_Bn-2F_CH2CH2CF2CH2CH2CHF2,-6.777
emap3_Bn-2F_CH2CH2CF2CH2CH2F,-5.599
emap3_Bn-2F_CH2CH2CF2CH2CHF2,-5.707
emap3_Bn-2F_CH2CH2CF2CH2F,-6.181
emap3_Bn-2F_CH2CH2CF2CH3,-6.477
emap3_Bn-2F_CH2CH2CF2H,-6.371
emap3_Bn-2F_CH2CH2CF3,-6.163
emap3_Bn-2F_CH2CH2CH2CF2CF3,-6.570
emap3_Bn-2F_CH2CH2CH2CF3,-6.294
emap3_Bn-2F_CH2CH2CH2CHF2,-6.462
emap3_Bn-2F_CH2CH2CH2F,-6.191
emap3_Bn-2F_CH2CH2CHF2,-6.359
emap3_Bn-2F_CH2CH2F,-6.100
emap3_Bn-2F_CH2CH2SiMe3,-5.508
emap3_Bn-2F_CH2CHF2,-6.183
emap3_Bn-2F_CH2F,-5.150
emap3_Bn-2F_CH2SiEt3,-5.912
emap3_Bn-2F_CH2SiMe3,-6.072
emap3_Bn-2F_Et,-6.110
emap3_Bn-2F_Me,-6.385
emap3_Bn-2F_OCH2CF2CF3,-6.440
emap3_Bn-2F_OCH2CF2CH2CH2F,-5.944
emap3_Bn-2F_OCH2CF2CH2F,-6.269
emap3_Bn-2F_OCH2CF2CH3,-6.332
emap3_Bn-2F_OCH2CF2H,-6.371
emap3_Bn-2F_OCH2CF3,-6.370
emap3_Bn-2F_OCH2CH2CF2CF3,-5.753
emap3_Bn-2F_OCH2CH2CF2CH2CH2F,-5.915
emap3_Bn-2F_OCH2CH2CF2CH2F,-6.165
emap3_Bn-2F_OCH2CH2CF2H,-6.133
emap3_Bn-2F_OCH2CH2CF3,-6.221
emap3_Bn-2F_OCH2CH2CH2CF3,-5.704
emap3_Bn-2F_OCH2CH2CH2CHF2,-6.360
emap3_Bn-2F_OCH2CH2CH2F,-6.139
