ligand_id,source_round,MW,TPSA,HBD,HBA,RB,cLogP,logD74_EST,CNS_gate,Efflux_risk,logS_EST
"emap_Bn-3,5diF_CH2CH2F",round1,469.47,73.02,0,6,8,3.56,3.56,Brain,tertiary_amine,-4.92
"emap_Bn-3,5diF_CH2F",round1,455.44,73.02,0,6,7,3.51,3.51,Brain,tertiary_amine,-4.89
"emap_Bn-3,5diF_Et",round1,451.48,73.02,0,6,7,3.61,3.61,Brain,tertiary_amine,-4.92
"emap_Bn-3,5diF_Me",round1,437.45,73.02,0,6,6,3.12,3.12,Brain,tertiary_amine,-4.61
emap_Bn-4CF3_CH2CH2F,round1,501.48,73.02,0,6,8,4.3,4.3,Brain,tertiary_amine,-5.56
emap_Bn-4CF3_CH2F,round1,487.46,73.02,0,6,7,4.25,4.25,Brain,tertiary_amine,-5.52
emap_Bn-4CF3_Et,round1,483.49,73.02,0,6,7,4.35,4.35,Brain,tertiary_amine,-5.56
emap_Bn-4CF3_Me,round1,469.47,73.02,0,6,6,3.86,3.86,Brain,tertiary_amine,-5.25
emap_Bn-4CN_CH2CH2F,round1,458.5,96.81,0,7,8,3.15,3.15,Border,high_polarity;tertiary_amine,-4.6
emap_Bn-4CN_CH2F,round1,444.47,96.81,0,7,7,3.11,3.11,Border,high_polarity;tertiary_amine,-4.56
emap_Bn-4CN_Et,round1,440.51,96.81,0,7,7,3.2,3.2,Border,high_polarity;tertiary_amine,-4.6
emap_Bn-4CN_Me,round1,426.48,96.81,0,7,6,2.72,2.72,Border,high_polarity;tertiary_amine,-4.29
emap_Bn-4F_CH2CH2F,round1,451.48,73.02,0,6,8,3.42,3.42,Brain,tertiary_amine,-4.73
emap_Bn-4F_CH2F,round1,437.45,73.02,0,6,7,3.37,3.37,Brain,tertiary_amine,-4.7
emap_Bn-4F_Et,round1,433.49,73.02,0,6,7,3.47,3.47,Brain,tertiary_amine,-4.74
emap_Bn-4F_Me,round1,419.46,73.02,0,6,6,2.98,2.98,Brain,tertiary_amine,-4.43
emap_Bn-4OCF3_CH2CH2F,round1,517.48,82.25,0,7,9,4.18,4.18,Brain,size_flex;tertiary_amine,-5.51
emap_Bn-4OCF3_CH2F,round1,503.46,82.25,0,7,8,4.13,4.13,Brain,tertiary_amine,-5.47
emap_Bn-4OCF3_Et,round1,499.49,82.25,0,7,8,4.23,4.23,Brain,tertiary_amine,-5.5
emap_Bn-4OCF3_Me,round1,485.47,82.25,0,7,7,3.74,3.74,Brain,tertiary_amine,-5.19
emap_Bn-4OCHF2_CH2CH2F,round1,499.49,82.25,0,7,10,3.88,3.88,Brain,size_flex;tertiary_amine,-5.15
emap_Bn-4OCHF2_CH2F,round1,485.47,82.25,0,7,9,3.84,3.84,Brain,size_flex;tertiary_amine,-5.12
emap_Bn-4OCHF2_Et,round1,481.5,82.25,0,7,9,3.93,3.93,Brain,size_flex;tertiary_amine,-5.15
emap_Bn-4OCHF2_Me,round1,467.48,82.25,0,7,8,3.45,3.45,Brain,tertiary_amine,-4.84
emap_Bn-4OMe_CH2CH2F,round1,463.51,82.25,0,7,9,3.29,3.29,Brain,size_flex;tertiary_amine,-4.65
emap_Bn-4OMe_CH2F,round1,449.49,82.25,0,7,8,3.24,3.24,Brain,tertiary_amine,-4.61
emap_Bn-4OMe_Et,round1,445.52,82.25,0,7,8,3.34,3.34,Brain,tertiary_amine,-4.65
emap_Bn-4OMe_Me,round1,431.5,82.25,0,7,7,2.85,2.85,Brain,tertiary_amine,-4.34
emap_Bn_CH2CH2F,round1,433.49,73.02,0,6,8,3.28,3.28,Brain,tertiary_amine,-4.55
emap_Bn_CH2F,round1,419.46,73.02,0,6,7,3.24,3.24,Brain,tertiary_amine,-4.52
emap_Bn_Et,round1,415.5,73.02,0,6,7,3.33,3.33,Brain,tertiary_amine,-4.55
emap_Bn_Me,round1,401.47,73.02,0,6,6,2.85,2.85,Brain,tertiary_amine,-4.24
"emap2_Bn-3,4diCl_CH2CF3",round2,538.36,73.02,0,6,7,5.18,5.18,Border,high_logP;size_flex;tertiary_amine,-6.41
"emap2_Bn-3,4diCl_CH2CH2F",round2,502.38,73.02,0,6,8,4.59,4.59,Brain,high_logP;tertiary_amine,-5.77
"emap2_Bn-3,4diCl_CH2F",round2,488.35,73.02,0,6,7,4.54,4.54,Brain,high_logP;tertiary_amine,-5.74
"emap2_Bn-3,4diCl_CHF2",round2,506.34,73.02,0,6,7,5.01,5.01,Border,high_logP;tertiary_amine,-6.13
"emap2_Bn-3,4diCl_Et",round2,484.39,73.02,0,6,7,4.64,4.64,Brain,high_logP;tertiary_amine,-5.77
"emap2_Bn-3,4diCl_Me",round2,470.36,73.02,0,6,6,4.15,4.15,Brain,tertiary_amine,-5.46
"emap2_Bn-3,4diCl_cPr",round2,496.4,73.02,0,6,7,4.95,4.95,Brain,high_logP;tertiary_amine,-6.03
"emap2_Bn-3,4diCl_iPr",round2,498.41,73.02,0,6,7,5.2,5.2,Border,high_logP;tertiary_amine,-6.2
"emap2_Bn-3,4diF_CH2CF3",round2,505.45,73.02,0,6,7,4.15,4.15,Brain,tertiary_amine,-5.56
"emap2_Bn-3,4diF_CH2CH2F",round2,469.47,73.02,0,6,8,3.56,3.56,Brain,tertiary_amine,-4.92
"emap2_Bn-3,4diF_CH2F",round2,455.44,73.02,0,6,7,3.51,3.51,Brain,tertiary_amine,-4.89
"emap2_Bn-3,4diF_CHF2",round2,473.43,73.02,0,6,7,3.98,3.98,Brain,tertiary_amine,-5.28
"emap2_Bn-3,4diF_Et",round2,451.48,73.02,0,6,7,3.61,3.61,Brain,tertiary_amine,-4.92
"emap2_Bn-3,4diF_Me",round2,437.45,73.02,0,6,6,3.12,3.12,Brain,tertiary_amine,-4.61
