round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note,...17,pass/fail_cns_window
R1,emap_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,485.466,3.744,NA,3.059,82.25,0,7,7,-4.747,0,-6.552,5.4,NA,0.6892673333,PASS
R1,emap_Bn-4OCHF2_Me,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,467.476,3.447,NA,2.762,82.25,0,7,8,-4.382,0,-6.544,5.4,NA,0.7596906667,PASS
R2,emap2_Bn_CH2CF3,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,469.467,3.871,NA,3.263,73.02,0,6,7,-4.727,0,-6.664,5.4,NA,0.6686663333,PASS
R2,emap2_Bn-4F_Me,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,419.46,2.985,NA,2.376,73.02,0,6,6,-3.925,0,-6.52,5.4,NA,0.73666,PASS
R2,"emap2_Bn-3,5diF_CH2CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,469.467,3.556,NA,2.948,73.02,0,6,8,-4.463,0,-6.656,5.4,NA,0.7246996667,PASS
R2,"emap2_Bn-3,4diF_Me",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,437.45,3.124,NA,2.515,73.02,0,6,6,-4.124,0,-6.517,5.4,NA,0.7574375,PASS
R2,"emap2_Bn-3,4diF_CHF2",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,473.43,3.982,NA,3.374,73.02,0,6,7,-4.822,0,-6.533,5.4,NA,0.6375908333,PASS
R2,"emap2_Bn-3,4diCl_Me",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,470.36,4.153,NA,3.544,73.02,0,6,6,-4.976,0,-6.608,4.8,NA,0.61614,PASS
R2,emap2_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,485.466,3.744,NA,3.059,82.25,0,7,7,-4.747,0,-6.662,5.4,NA,0.6933923333,PASS
R2,emap2_Bn-4OMe_CH2CF3,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,499.493,3.88,NA,3.194,82.25,0,7,8,-4.853,0,-6.577,5.4,NA,0.6425111667,PASS
R3,emap3_Bn_OCH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)(F)F,485.466,3.803,NA,3.117,82.25,0,7,8,-4.718,0,-6.627,5.4,NA,0.6738131667,PASS
R3,emap3_Bn-3F_CH2CH2CF3,CCN(Cc1cc(F)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)(F)F,487.457,4.01,NA,3.402,73.02,0,6,7,-4.927,0,-6.699,4.8,NA,0.6241888333,PASS
R3,emap3_Bn-3Cl_CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF,453.905,3.889,NA,3.281,73.02,0,6,7,-4.642,0,-6.51,5.4,NA,0.6748533333,PASS
R3,"emap3_Bn-3,5diF_nPr",CCN(Cc1c(F)cc(F)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC,465.504,3.997,NA,3.388,73.02,0,6,8,-4.716,0,-6.529,5.4,NA,0.6359001667,PASS
R3,"emap3_Bn-3,5diF_CH2CH2CF2CH3",CCN(Cc1c(F)cc(F)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C,483.494,3.945,NA,3.336,73.02,0,6,8,-4.795,0,-6.518,5.4,NA,0.6278976667,PASS
R3,"emap3_Bn-3,4diF_OCH2CF2CH3",CCN(Cc1c(F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)C,499.493,3.877,NA,3.191,82.25,0,7,9,-4.785,0,-6.542,5.4,NA,0.635132,PASS
R3,"emap3_Bn-2,6diF_CH2CH2CHF2",CCN(Cc1c(F)cccc(F)1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,487.457,3.852,NA,3.244,73.02,0,6,8,-4.761,0,-6.61,5.4,NA,0.6457846667,PASS
R3,"emap3_Bn-2,6diF_CH2CH2CF2H",CCN(Cc1c(F)cccc(F)1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,487.457,3.852,NA,3.244,73.02,0,6,8,-4.761,0,-6.669,5.4,NA,0.6479971667,PASS
R3,"emap3_Bn-2,6diF_CH2CH2CF2CH3",CCN(Cc1c(F)cccc(F)1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C,483.494,3.945,NA,3.336,73.02,0,6,8,-4.795,0,-6.704,5.4,NA,0.6348726667,PASS
R3,"emap3_Bn-3,4diCl_Me",CCN(Cc1c(Cl)ccc(Cl)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,470.36,4.153,NA,3.544,73.02,0,6,6,-4.976,0,-6.572,4.8,NA,0.61479,PASS
R3,emap3_Bn-3F_4OMe_CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,485.466,3.852,NA,3.166,82.25,0,7,8,-4.748,0,-6.511,5.4,NA,0.6596631667,PASS
R3,emap3_Bn-3CF3_4F_Me,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,487.457,4.004,NA,3.395,73.02,0,6,6,-4.989,0,-6.715,4.8,NA,0.6328555,PASS
