frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,ligand_protein_min_distance_A,ligand_protein_contact_count_4A
0,10.000000029814057,2.521004342006031e-07,0.0,3.115428388364625,24
1,20.000000059628114,0.7903562636531085,3.4118313735349703,3.743747261473221,4
2,30.00000008944217,0.9154595540107172,3.234027112510607,3.332959203820368,17
3,40.00000011925623,1.0641488764373093,4.221736782423795,2.9235802621483433,30
4,50.00000014907029,1.1568581873099757,5.243008791254343,3.655687709339386,7
5,60.00000017888434,1.0580668033237184,5.266402954969545,3.3770765502866897,7
6,70.0000002086984,0.9799351951385782,5.650869929161385,3.9692933225853144,1
7,80.00000023851246,1.1303430909789542,5.5088622661926365,3.295279564979265,7
8,90.00000026832652,1.2263261044498668,5.096987104499202,3.4618209333317242,19
9,100.00000029814058,1.1309989551300939,5.247929176990127,3.6605891239705834,9
10,110.00000032795462,1.1879220880972168,5.360181399952954,3.6118121299451027,12
11,120.00000035776868,1.2009773576340632,5.519717491102033,3.7126107675658084,7
12,130.00000038758273,1.3720345630679307,6.448602143134671,3.2736022139192302,19
13,140.0000004173968,1.3144682186836223,7.217960918698967,3.431967671517227,7
14,150.00000044721085,1.2561877524796228,6.200110862900503,3.555773539951471,6
15,160.0000004770249,1.2174307270249272,5.980949750057863,3.4663833245852405,8
16,170.00000050683897,1.320260242079,5.312524367442868,3.402830676621557,14
17,180.00000053665303,1.286978115220188,4.893792616287787,3.5467271068115562,7
18,190.0000005664671,1.267211585390209,4.288983042712482,3.5480921926413056,9
19,200.00000059628115,1.3231951363449042,3.7649482502259928,3.4002262886455794,21
20,210.0000006260952,1.3023028014680469,3.8243095500105655,2.9330613378562025,18
21,220.00000065590925,1.344142908107257,4.469529653317568,3.2130759253710646,17
22,230.0000006857233,1.346432440989399,3.6244431803053696,3.0919552134247272,25
23,240.00000071553737,1.2494214286869594,3.1943561956748647,3.432225604636645,10
24,250.00000074535143,1.2575140589789384,3.432633042471926,3.180177610383944,16
25,260.00000077516546,1.3455014584044926,4.213566952709001,3.462482284888764,9
26,270.00000080497955,1.2992009676281195,4.222893355499794,3.37585339067776,15
27,280.0000008347936,1.4309156129144764,3.5976501320929155,3.3530019185479603,9
28,290.00000086460767,1.3412812069555775,3.9525065667721297,3.5409466460245786,21
29,300.0000008944217,1.349361522965932,4.077279031956114,3.283858824789776,18
30,310.0000009242358,1.3274626114194656,4.115013526395848,3.7151021811525835,4
31,320.0000009540498,1.3321341448420216,3.512754780642588,3.6612743974097834,9
32,330.00000098386386,1.351225347742025,3.949866256486251,3.395293637332238,17
33,340.00000101367795,1.4196855030978976,4.60639880910951,3.5900118149410374,11
34,350.000001043492,1.4632479683638624,4.63387901817123,3.426594998627908,18
35,360.00000107330607,1.4411200060497231,4.083835865826795,3.529487029818641,14
36,370.0000011031201,1.3266205631303356,3.9980461795037563,3.1055994373752522,24
37,380.0000011329342,1.3974104803873306,4.599428174458969,3.667108402128526,17
38,390.0000011627482,1.5049136033844945,4.193834231508811,3.5134883593594286,15
39,400.0000011925623,1.4105427851485173,4.551117260228591,3.232373616251786,23
40,410.00000122237634,1.4510892288346398,5.724127312012339,3.834238957016758,2
41,420.0000012521904,1.3604056255452577,4.708671021571066,3.314932341925604,19
42,430.00000128200446,1.349347355212978,5.158422470854023,3.576803506604813,2
43,440.0000013118185,1.497189108655481,4.235259855681423,3.1648857948361395,5
