frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,fixed_pocket_contact_count_4A,all_protein_contact_count_4A,fixed_pocket_min_distance_A,all_protein_min_distance_A,ligand_COM_to_fixed_pocket_center_A
0,10.000000029814057,1.2102896653632926e-06,6.797064130789717e-07,26,26,3.311692685468745,3.311692685468745,5.952754497528076
1,20.000000059628114,0.7991142266338792,1.256287090810215,24,24,3.393421263059843,3.393421263059843,5.436298370361328
2,30.00000008944217,0.9644130258313168,1.0654835469199713,28,28,3.1967290488283835,3.1967290488283835,5.443097114562988
3,40.00000011925623,1.0606928093764418,1.5144187360458385,25,25,3.4103539936125786,3.4103539936125786,5.78786563873291
4,50.00000014907029,0.9972777599495559,1.0171690586669087,38,38,3.2032830842081785,3.2032830842081785,6.116517543792725
5,60.00000017888434,1.1431027283570132,1.0836680140198856,22,22,3.3781972120099604,3.3781972120099604,5.745530128479004
6,70.0000002086984,1.1859404103338183,0.9124761020383492,11,11,3.513964837091859,3.513964837091859,6.047922611236572
7,80.00000023851246,1.2626018337909792,1.8423506634414573,18,18,3.4703193402023595,3.4703193402023595,5.889467716217041
8,90.00000026832652,1.383785999049838,1.567527671329638,16,16,3.3989046824168105,3.3989046824168105,5.343026638031006
9,100.00000029814058,1.4138962861448103,1.5808529600041707,29,29,3.2202833259112467,3.2202833259112467,5.716873645782471
10,110.00000032795462,1.3908346509493243,1.4412838725214494,27,28,3.330592981301646,3.330592981301646,5.667333126068115
11,120.00000035776868,1.333091170844522,1.2983841679231776,17,17,3.5199615105803024,3.5199615105803024,5.602919101715088
12,130.00000038758273,1.5683725206224814,2.005898012242457,21,21,3.157382699614647,3.157382699614647,5.794212818145752
13,140.0000004173968,1.5731126634733104,1.7180356951284563,19,19,3.2779867766243656,3.2779867766243656,5.9813995361328125
14,150.00000044721085,1.6456461453820328,1.9348024579646625,29,29,3.3120651918122825,3.3120651918122825,5.198821544647217
15,160.0000004770249,1.543827830786008,1.3680668830300164,32,32,3.2328243572294153,3.2328243572294153,5.123072147369385
16,170.00000050683897,1.4238415047433735,2.10479499396806,22,22,3.4280732608727593,3.4280732608727593,5.684251308441162
17,180.00000053665303,1.4429326707142878,1.9682113993922257,34,34,3.3203506365841826,3.3203506365841826,5.293110370635986
18,190.0000005664671,1.4373414225480998,1.5156412432452226,22,22,3.5683443093470073,3.5683443093470073,5.67047119140625
19,200.00000059628115,1.5242882265127693,1.8608232060987777,21,21,3.203976050653706,3.203976050653706,6.095588207244873
20,210.0000006260952,1.5661147120473022,1.597685316608902,15,15,3.442671416939408,3.442671416939408,5.959054946899414
21,220.00000065590925,1.6620913152701877,1.568507216235304,16,16,3.314087626436426,3.314087626436426,6.449480056762695
22,230.0000006857233,1.61092417672834,2.764981065265502,15,15,3.5118168866093233,3.5118168866093233,6.743691921234131
23,240.00000071553737,1.5708303838630913,1.7232472324118326,23,23,3.333079279987108,3.333079279987108,5.684184551239014
24,250.00000074535143,1.4907516818931754,2.1690965825680433,19,19,3.3146084885980835,3.3146084885980835,6.187870502471924
