endpoint,endpoint_label,endpoint_class,candidate,n_independent_trajectories,mean,sd,median,min,max,analysis_type
fixed_contacts_mean,Mean fixed-pocket contact count,primary,A3,5,11.575,6.201778494915794,12.205,4.949,19.672,descriptive
fixed_contacts_mean,Mean fixed-pocket contact count,primary,A7,5,28.2546,5.944030560150242,26.6,21.302,36.121,descriptive
fixed_contacts_mean,Mean fixed-pocket contact count,primary,A8,5,16.635199999999998,3.043998800919605,14.912,14.455,21.551,descriptive
fixed_contacts_mean,Mean fixed-pocket contact count,primary,A15,5,17.0422,3.3060122050591403,16.033,13.511,20.651,descriptive
fixed_contacts_mean,Mean fixed-pocket contact count,primary,AC-5216,5,18.4902,2.18622658935436,19.403,15.977,20.866,descriptive
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,primary,A3,5,8.864522393894196,1.6945290700193705,8.068481847763062,7.35202374124527,11.429842762470246,descriptive
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,primary,A7,5,6.646957113695146,1.0799291291285615,7.3118469786643985,5.073873855352402,7.521880741119385,descriptive
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,primary,A8,5,6.981768728399277,0.9591377653718908,7.4984113070964815,5.799367861747742,7.958078488349915,descriptive
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,primary,A15,5,8.303408801841735,0.8308775112435766,8.315339328289031,7.012035150051117,9.098033597946166,descriptive
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,primary,AC-5216,5,6.564729441785812,0.8602001421310871,6.288033997535705,5.566734406232833,7.512438255786896,descriptive
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,primary,A3,5,54.08,28.747730345194206,66.10000000000001,15.7,83.39999999999999,descriptive
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,primary,A7,5,97.96000000000001,2.035436071214222,98.0,94.9,99.8,descriptive
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,primary,A8,5,85.76,8.26335283041938,83.2,75.5,96.8,descriptive
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,primary,A15,5,82.14,9.510152469860829,85.7,68.0,91.7,descriptive
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,primary,AC-5216,5,87.97999999999999,9.151611879882147,92.9,73.3,95.7,descriptive
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,secondary,A3,5,5.602323719902955,1.3389937144914361,5.210659484312378,3.88634747795789,7.235409653802242,descriptive
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,secondary,A7,5,5.706722980236919,0.9397008679387634,5.958247898149583,4.325137945488276,6.553436925432296,descriptive
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,secondary,A8,5,5.43864008820978,1.7995720317122268,5.408498219768457,3.940684576683189,8.383697938290187,descriptive
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,secondary,A15,5,6.458332442735971,1.508192896521695,5.757374245902698,5.023267161565456,8.517014053437059,descriptive
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,secondary,AC-5216,5,3.9072019482656244,1.3367812940960693,4.044182985407787,2.408434665545633,5.879088012936375,descriptive
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,secondary,A3,5,7.043804166453716,2.0707891367998217,6.67975562100959,4.981039911160835,9.70900992801611,descriptive
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,secondary,A7,5,6.100687243781502,1.37569041925283,6.0107236525760745,4.667172853449377,8.179694500175836,descriptive
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,secondary,A8,5,6.566852503861815,2.003658349589989,6.721976497967234,4.039274424738634,9.373044682866704,descriptive
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,secondary,A15,5,7.450974427376943,2.2850684651298434,6.999821248708567,5.442107173442995,11.037003857357275,descriptive
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,secondary,AC-5216,5,4.678129584719659,2.3532042904093666,4.71667033458657,1.8188808697711376,7.852523661588406,descriptive
all_min_distance_mean_A,All-protein minimum distance,secondary,A3,5,3.5037408217534463,0.32050879191680665,3.410154111319851,3.2936851107308156,4.068698894813317,descriptive
all_min_distance_mean_A,All-protein minimum distance,secondary,A7,5,3.219666601707874,0.06291328704982686,3.2027247307158104,3.1403725952863732,3.2975588846198445,descriptive
all_min_distance_mean_A,All-protein minimum distance,secondary,A8,5,3.3466492510906876,0.0433145621951247,3.3417547480655254,3.294569108779189,3.409432311741477,descriptive
all_min_distance_mean_A,All-protein minimum distance,secondary,A15,5,3.238178221687015,0.06257695133296202,3.2437462416172114,3.169050472071507,3.3113615231231317,descriptive
all_min_distance_mean_A,All-protein minimum distance,secondary,AC-5216,5,3.363810100614754,0.046755510126055964,3.37793725497214,3.2822242813078963,3.399702450246282,descriptive
protein_rmsd_mean_A,Protein backbone RMSD,secondary,A3,5,2.1776014180529706,0.19915754411449385,2.132393606277349,1.9865152845700167,2.470390484012788,descriptive
protein_rmsd_mean_A,Protein backbone RMSD,secondary,A7,5,2.3532260207562965,0.23515419520229972,2.3842165427407127,1.982271138475153,2.6203561738285788,descriptive
protein_rmsd_mean_A,Protein backbone RMSD,secondary,A8,5,2.306589625650277,0.17621358419238833,2.3649037328448927,1.998605612174398,2.4465525908663404,descriptive
protein_rmsd_mean_A,Protein backbone RMSD,secondary,A15,5,2.2738304409634864,0.21734669728586506,2.2728985605511793,1.9754034262624465,2.5859272736711523,descriptive
protein_rmsd_mean_A,Protein backbone RMSD,secondary,AC-5216,5,2.537986342538519,0.19119294742507487,2.483525503920594,2.3954596841192526,2.8647359082885524,descriptive
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,secondary,A3,5,11.914427860696517,12.983101773463359,12.28358208955224,0.2935323383084577,32.72636815920398,descriptive
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,secondary,A7,5,29.061691542288553,5.666717553355663,29.696517412935325,22.62189054726368,34.78606965174129,descriptive
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,secondary,A8,5,17.257711442786068,2.831963423363118,18.199004975124375,13.417910447761194,20.243781094527364,descriptive
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,secondary,A15,5,15.51542288557214,6.299191799846563,14.139303482587064,10.562189054726367,26.218905472636816,descriptive
