endpoint,endpoint_label,analog,reference,n_analog,n_reference,analog_mean,reference_mean,mean_difference_analog_minus_reference,analog_median,reference_median,mann_whitney_U,two_sided_p_value,mann_whitney_method,cross_group_ties_present,hedges_g_analog_minus_reference,cliffs_delta_analog_vs_reference,holm_family,analysis_status,holm_adjusted_p_value
fixed_contacts_mean,Mean fixed-pocket contact count,A3,AC-5216,5,5,11.575,18.4902,-6.915200000000002,12.205,19.403,3.0,0.05555555555555555,exact,False,-1.3432751669971836,-0.76,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.16666666666666666
fixed_contacts_mean,Mean fixed-pocket contact count,A7,AC-5216,5,5,28.2546,18.4902,9.764399999999998,26.6,19.403,25.0,0.007936507936507936,exact,False,1.9693580702820133,1.0,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.031746031746031744
fixed_contacts_mean,Mean fixed-pocket contact count,A8,AC-5216,5,5,16.635199999999998,18.4902,-1.855000000000004,14.912,19.403,7.0,0.30952380952380953,exact,False,-0.6322464640590937,-0.44,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.6190476190476191
fixed_contacts_mean,Mean fixed-pocket contact count,A15,AC-5216,5,5,17.0422,18.4902,-1.4480000000000004,16.033,19.403,9.0,0.5476190476190477,exact,False,-0.4666609206028103,-0.28,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.6190476190476191
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,A3,AC-5216,5,5,8.864522393894196,6.564729441785812,2.299792952108384,8.068481847763062,6.288033997535705,23.0,0.031746031746031744,exact,False,1.5458377097668885,0.84,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.12698412698412698
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,A7,AC-5216,5,5,6.646957113695146,6.564729441785812,0.082227671909334,7.3118469786643985,6.288033997535705,12.0,1.0,exact,False,0.07607572477857853,-0.04,four analog-vs-AC-5216 comparisons within endpoint,exploratory,1.0
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,A8,AC-5216,5,5,6.981768728399277,6.564729441785812,0.41703928661346445,7.4984113070964815,6.288033997535705,17.0,0.42063492063492064,exact,False,0.41347448086356625,0.36,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.8412698412698413
com_to_pocket_mean_A,Mean ligand COM-to-fixed-pocket-center distance,A15,AC-5216,5,5,8.303408801841735,6.564729441785812,1.7386793600559232,8.315339328289031,6.288033997535705,23.0,0.031746031746031744,exact,False,1.8570218041681334,0.84,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.12698412698412698
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,AC-5216,5,5,54.08,87.97999999999999,-33.89999999999999,66.10000000000001,92.9,1.0,0.015873015873015872,exact,False,-1.435312394334483,-0.92,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.06349206349206349
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A7,AC-5216,5,5,97.96000000000001,87.97999999999999,9.980000000000018,98.0,92.9,24.0,0.015873015873015872,exact,False,1.3597522664964774,0.92,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.06349206349206349
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A8,AC-5216,5,5,85.76,87.97999999999999,-2.2199999999999847,83.2,92.9,10.0,0.6904761904761905,exact,False,-0.22998129788820068,-0.2,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.6904761904761905
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A15,AC-5216,5,5,82.14,87.97999999999999,-5.839999999999989,85.7,92.9,7.0,0.30952380952380953,exact,False,-0.5652054487232657,-0.44,four analog-vs-AC-5216 comparisons within endpoint,exploratory,0.6190476190476191
