endpoint,endpoint_label,candidate,n_independent_trajectories,replicate_1,replicate_2,replicate_3,mean,sd,median,min,max,range
fixed_contacts_mean,Fixed-pocket contacts,A3,3,12.205,19.672,4.949,12.275333333333334,7.361751988034732,12.205,4.949,19.672,14.723
fixed_contacts_mean,Fixed-pocket contacts,A7,3,26.6,36.121,21.302,28.007666666666665,7.50911674788276,26.6,21.302,36.121,14.819000000000003
fixed_contacts_mean,Fixed-pocket contacts,A8,3,14.602,17.656,14.455,15.570999999999998,1.8071582664503951,14.602,14.455,17.656,3.2009999999999987
fixed_contacts_mean,Fixed-pocket contacts,A15,3,16.033,14.612,20.404,17.016333333333336,3.0186129817075473,16.033,14.612,20.404,5.792
fixed_contacts_mean,Fixed-pocket contacts,AC-5216,3,20.866,15.977,19.403,18.74866666666667,2.5093214886365858,19.403,15.977,20.866,4.888999999999999
com_to_pocket_mean_A,COM-to-pocket distance,A3,3,7.35202374124527,8.068481847763062,11.429842762470246,8.950116117159526,2.1771796506482266,8.068481847763062,7.35202374124527,11.429842762470246,4.077819021224976
com_to_pocket_mean_A,COM-to-pocket distance,A7,3,5.073873855352402,5.962780526638031,7.521880741119385,6.18617837436994,1.2391990868980969,5.962780526638031,5.073873855352402,7.521880741119385,2.4480068857669828
com_to_pocket_mean_A,COM-to-pocket distance,A8,3,7.4984113070964815,7.538317336082459,7.958078488349915,7.664935710509618,0.2546519957457656,7.538317336082459,7.4984113070964815,7.958078488349915,0.4596671812534332
com_to_pocket_mean_A,COM-to-pocket distance,A15,3,8.130674294948578,9.098033597946166,7.012035150051117,8.080247680981955,1.0439130776564889,8.130674294948578,7.012035150051117,9.098033597946166,2.085998447895049
com_to_pocket_mean_A,COM-to-pocket distance,AC-5216,3,6.044256760597229,7.412183788776398,7.512438255786896,6.98962626838684,0.8202471391188573,7.412183788776398,6.044256760597229,7.512438255786896,1.4681814951896675
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,3,66.10000000000001,72.89999999999999,15.7,51.56666666666666,31.246973186747756,66.10000000000001,15.7,72.89999999999999,57.19999999999999
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A7,3,99.8,99.8,94.9,98.16666666666667,2.8290163190291615,99.8,94.9,99.8,4.8999999999999915
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A8,3,75.5,91.0,82.3,82.93333333333334,7.769384359994898,82.3,75.5,91.0,15.5
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A15,3,85.7,77.3,91.7,84.89999999999999,7.2332565280100525,85.7,77.3,91.7,14.400000000000006
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,AC-5216,3,95.7,73.3,93.1,87.36666666666667,12.251258438761846,93.1,73.3,95.7,22.400000000000006
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A3,3,3.88634747795789,5.0352159289287615,7.235409653802242,5.385657686896298,1.7018112215264536,5.0352159289287615,3.88634747795789,7.235409653802242,3.3490621758443524
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A7,3,4.325137945488276,5.958247898149583,5.214739273792249,5.166041705810036,0.8176433325209049,5.214739273792249,4.325137945488276,5.958247898149583,1.6331099526613073
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A8,3,5.408498219768457,4.011896490839081,8.383697938290187,5.934697549632574,2.2328963869929077,5.408498219768457,4.011896490839081,8.383697938290187,4.371801447451106
