endpoint,endpoint_label,candidate_1,candidate_2,n_1,n_2,mean_1,mean_2,mean_difference_1_minus_2,median_1,median_2,mann_whitney_U,exact_p_value,hedges_g_1_minus_2,cliffs_delta_1_vs_2,analysis_status,holm_p_all_pairs
fixed_contacts_mean,Fixed-pocket contacts,A3,A7,3,3,12.275333333333334,28.007666666666665,-15.732333333333331,12.205,26.6,0.0,0.1,-1.6926043750620217,-1.0,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A3,A8,3,3,12.275333333333334,15.570999999999998,-3.295666666666664,12.205,14.602,3.0,0.7,-0.49188192972627837,-0.3333333333333333,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A3,A15,3,3,12.275333333333334,17.016333333333336,-4.741000000000001,12.205,16.033,2.0,0.4,-0.6741361929962535,-0.5555555555555556,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A3,AC-5216,3,3,12.275333333333334,18.74866666666667,-6.4733333333333345,12.205,19.403,2.0,0.4,-0.9416373421529907,-0.5555555555555556,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A7,A8,3,3,28.007666666666665,15.570999999999998,12.436666666666667,26.6,14.602,9.0,0.1,1.8217722775373077,1.0,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A7,A15,3,3,28.007666666666665,17.016333333333336,10.99133333333333,26.6,16.033,9.0,0.1,1.5365209903800972,1.0,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A7,AC-5216,3,3,28.007666666666665,18.74866666666667,9.258999999999997,26.6,19.403,9.0,0.1,1.3230990290401174,1.0,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A8,A15,3,3,15.570999999999998,17.016333333333336,-1.4453333333333376,14.602,16.033,2.0,0.4,-0.4647832600198283,-0.5555555555555556,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A8,AC-5216,3,3,15.570999999999998,18.74866666666667,-3.1776666666666706,14.602,19.403,1.0,0.2,-1.1625917876613787,-0.7777777777777778,exploratory,1.0
fixed_contacts_mean,Fixed-pocket contacts,A15,AC-5216,3,3,17.016333333333336,18.74866666666667,-1.732333333333333,16.033,19.403,3.0,0.7,-0.49929036340182464,-0.3333333333333333,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A3,A7,3,3,8.950116117159526,6.18617837436994,2.7639377427895857,8.068481847763062,5.962780526638031,8.0,0.2,1.248249117927581,0.7777777777777778,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A3,A8,3,3,8.950116117159526,7.664935710509618,1.285180406649908,8.068481847763062,7.538317336082459,6.0,0.7,0.6633217585199737,0.3333333333333333,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A3,A15,3,3,8.950116117159526,8.080247680981955,0.8698684361775708,8.068481847763062,8.130674294948578,5.0,1.0,0.4075954060303181,0.1111111111111111,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A3,AC-5216,3,3,8.950116117159526,6.98962626838684,1.9604898487726858,8.068481847763062,7.412183788776398,7.0,0.4,0.9533533892474199,0.5555555555555556,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A7,A8,3,3,6.18617837436994,7.664935710509618,-1.4787573361396777,5.962780526638031,7.538317336082459,1.0,0.2,-1.3224498488450696,-0.7777777777777778,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A7,A15,3,3,6.18617837436994,8.080247680981955,-1.894069306612015,5.962780526638031,8.130674294948578,1.0,0.2,-1.3225304615662266,-0.7777777777777778,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A7,AC-5216,3,3,6.18617837436994,6.98962626838684,-0.8034478940168999,5.962780526638031,7.412183788776398,3.0,0.7,-0.6116766338913271,-0.3333333333333333,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A8,A15,3,3,7.664935710509618,8.080247680981955,-0.41531197047233714,7.538317336082459,8.130674294948578,3.0,0.7,-0.43728366296108345,-0.3333333333333333,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A8,AC-5216,3,3,7.664935710509618,6.98962626838684,0.6753094421227779,7.538317336082459,7.412183788776398,8.0,0.2,0.8895733176124558,0.7777777777777778,exploratory,1.0
com_to_pocket_mean_A,COM-to-pocket distance,A15,AC-5216,3,3,8.080247680981955,6.98962626838684,1.090621412595115,8.130674294948578,7.412183788776398,7.0,0.4,0.9294094081398332,0.5555555555555556,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,A7,3,3,51.56666666666666,98.16666666666667,-46.60000000000001,66.10000000000001,99.8,0.0,0.1,-1.6803906103159236,-1.0,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,A8,3,3,51.56666666666666,82.93333333333334,-31.366666666666674,66.10000000000001,82.3,0.0,0.1,-1.1021459882894662,-1.0,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,A15,3,3,51.56666666666666,84.89999999999999,-33.33333333333333,66.10000000000001,85.7,0.0,0.1,-1.1758197954385796,-1.0,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A3,AC-5216,3,3,51.56666666666666,87.36666666666667,-35.80000000000001,66.10000000000001,93.1,0.0,0.1,-1.2067820422743205,-1.0,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A7,A8,3,3,98.16666666666667,82.93333333333334,15.233333333333334,99.8,82.3,9.0,0.1,2.084383983406408,1.0,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A7,A15,3,3,98.16666666666667,84.89999999999999,13.26666666666668,99.8,85.7,9.0,0.1,1.9325206191247652,1.0,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A7,AC-5216,3,3,98.16666666666667,87.36666666666667,10.799999999999997,99.8,93.1,8.0,0.2,0.9717787177749853,0.7777777777777778,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A8,A15,3,3,82.93333333333334,84.89999999999999,-1.9666666666666544,82.3,85.7,3.0,0.7,-0.20960705636781185,-0.3333333333333333,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A8,AC-5216,3,3,82.93333333333334,87.36666666666667,-4.433333333333337,82.3,93.1,3.0,0.7,-0.3457435025646234,-0.3333333333333333,exploratory,1.0
frames_fixed_contacts_ge10_pct,Frames with >=10 fixed-pocket contacts,A15,AC-5216,3,3,84.89999999999999,87.36666666666667,-2.4666666666666828,85.7,93.1,3.0,0.7,-0.19615342307022532,-0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A3,A7,3,3,5.385657686896298,5.166041705810036,0.21961598108626212,5.0352159289287615,5.214739273792249,4.0,1.0,0.13160042945098818,-0.1111111111111111,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A3,A8,3,3,5.385657686896298,5.934697549632574,-0.5490398627362758,5.0352159289287615,5.408498219768457,3.0,0.7,-0.22125392589231999,-0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A3,A15,3,3,5.385657686896298,6.321116928327626,-0.9354592414313281,5.0352159289287615,5.4230695699803615,3.0,0.7,-0.4134501838983547,-0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A3,AC-5216,3,3,5.385657686896298,4.110568554629931,1.275089132266367,5.0352159289287615,4.044182985407787,6.0,0.7,0.593364369712012,0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A7,A8,3,3,5.166041705810036,5.934697549632574,-0.7686558438225379,5.214739273792249,5.408498219768457,4.0,1.0,-0.36571681224371316,-0.1111111111111111,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A7,A15,3,3,5.166041705810036,6.321116928327626,-1.1550752225175902,5.214739273792249,5.4230695699803615,3.0,0.7,-0.6283816434380921,-0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A7,AC-5216,3,3,5.166041705810036,4.110568554629931,1.055473151180105,5.214739273792249,4.044182985407787,7.0,0.4,0.6222132497169852,0.5555555555555556,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A8,A15,3,3,5.934697549632574,6.321116928327626,-0.3864193786950523,5.408498219768457,5.4230695699803615,3.0,0.7,-0.1487134405093758,-0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A8,AC-5216,3,3,5.934697549632574,4.110568554629931,1.824128995002643,5.408498219768457,4.044182985407787,6.0,0.7,0.7296292433090396,0.3333333333333333,exploratory,1.0
ligand_rmsd_mean_A,Ligand heavy-atom RMSD,A15,AC-5216,3,3,6.321116928327626,4.110568554629931,2.210548373697695,5.4230695699803615,4.044182985407787,7.0,0.4,0.9682920393092962,0.5555555555555556,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,A7,3,3,6.645451329304982,5.26100772636086,1.3844436029441223,5.246304148738,5.1051266730571285,6.0,0.7,0.5709447388422149,0.3333333333333333,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,A8,3,3,6.645451329304982,6.282193498490088,0.36325783081489416,5.246304148738,5.434261387864925,5.0,1.0,0.10716202340716359,0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,A15,3,3,6.645451329304982,7.826310759836279,-1.1808594305312967,5.246304148738,6.999821248708567,2.0,0.4,-0.3405007371880219,-0.5555555555555556,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A3,AC-5216,3,3,6.645451329304982,5.618365573080195,1.0270857562247873,5.246304148738,5.8858746333131595,5.0,1.0,0.3258471781396266,0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,A8,3,3,5.26100772636086,6.282193498490088,-1.0211857721292281,5.1051266730571285,5.434261387864925,4.0,1.0,-0.40541922115083173,-0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,A15,3,3,5.26100772636086,7.826310759836279,-2.565303033475419,5.1051266730571285,6.999821248708567,1.0,0.2,-0.977949467642055,-0.7777777777777778,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A7,AC-5216,3,3,5.26100772636086,5.618365573080195,-0.357357846719335,5.1051266730571285,5.8858746333131595,4.0,1.0,-0.1632944534106601,-0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A8,A15,3,3,6.282193498490088,7.826310759836279,-1.5441172613461909,5.434261387864925,6.999821248708567,2.0,0.4,-0.4368850238561847,-0.5555555555555556,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A8,AC-5216,3,3,6.282193498490088,5.618365573080195,0.6638279254098931,5.434261387864925,5.8858746333131595,5.0,1.0,0.20584276331928894,0.1111111111111111,exploratory,1.0
ligand_rmsd_final2ns_mean_A,Ligand RMSD final 2 ns,A15,AC-5216,3,3,7.826310759836279,5.618365573080195,2.207945186756084,6.999821248708567,5.8858746333131595,6.0,0.7,0.6676505861184697,0.3333333333333333,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,A7,3,3,3.3854400344076994,3.1776873851013754,0.20775264930632398,3.410154111319851,3.189964829301941,9.0,0.1,3.7668081244042932,1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,A8,3,3,3.3854400344076994,3.358270297428254,0.027169736979445247,3.410154111319851,3.3417547480655254,7.0,0.4,0.44120555262640493,0.5555555555555556,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,A15,3,3,3.3854400344076994,3.259364798248786,0.12607523615891347,3.410154111319851,3.2855763417871713,9.0,0.1,1.640245644637664,1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A3,AC-5216,3,3,3.3854400344076994,3.3862963222645774,-0.0008562878568780796,3.410154111319851,3.386735093224721,6.0,0.7,-0.017703810358417196,0.3333333333333333,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A7,A8,3,3,3.1776873851013754,3.358270297428254,-0.18058291232687873,3.189964829301941,3.3417547480655254,0.0,0.1,-3.6516195144831407,-1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A7,A15,3,3,3.1776873851013754,3.259364798248786,-0.0816774131474105,3.189964829301941,3.2855763417871713,2.0,0.4,-1.2093498010732417,-0.5555555555555556,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A7,AC-5216,3,3,3.1776873851013754,3.3862963222645774,-0.20860893716320206,3.189964829301941,3.386735093224721,0.0,0.1,-6.62063499807352,-1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A8,A15,3,3,3.358270297428254,3.259364798248786,0.09890549917946823,3.3417547480655254,3.2855763417871713,9.0,0.1,1.3570755214971975,1.0,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A8,AC-5216,3,3,3.358270297428254,3.3862963222645774,-0.028026024836323327,3.3417547480655254,3.386735093224721,3.0,0.7,-0.6712782239732287,-0.3333333333333333,exploratory,1.0
all_min_distance_mean_A,All-protein minimum distance,A15,AC-5216,3,3,3.259364798248786,3.3862963222645774,-0.12693152401579155,3.2855763417871713,3.386735093224721,0.0,0.1,-2.043320990593247,-1.0,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,A7,3,3,2.1320927689791946,2.2739158513932494,-0.14182308241405472,2.132393606277349,2.3842165427407127,3.0,0.7,-0.5464995271778428,-0.3333333333333333,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,A8,3,3,2.1320927689791946,2.2700206452952103,-0.13792787631601566,2.132393606277349,2.3649037328448927,2.0,0.4,-0.5585061405585438,-0.5555555555555556,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,A15,3,3,2.1320927689791946,2.269273834961278,-0.13718106598208335,2.132393606277349,2.2728985605511793,2.0,0.4,-1.0377892398973956,-0.5555555555555556,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A3,AC-5216,3,3,2.1320927689791946,2.429940621061015,-0.2978478520818202,2.132393606277349,2.4108366751431984,0.0,0.1,-2.204687691965167,-1.0,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A7,A8,3,3,2.2739158513932494,2.2700206452952103,0.0038952060980390613,2.3842165427407127,2.3649037328448927,5.0,1.0,0.012618508913285845,0.1111111111111111,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A7,A15,3,3,2.2739158513932494,2.269273834961278,0.004642016431971374,2.3842165427407127,2.2728985605511793,6.0,0.7,0.02040096687794584,0.3333333333333333,exploratory,1.0
protein_rmsd_mean_A,Protein backbone RMSD,A7,AC-5216,3,3,2.2739158513932494,2.429940621061015,-0.15602476966776546,2.3842165427407127,2.4108366751431984,2.0,0.4,-0.6806092942844442,-0.5555555555555556,exploratory,1.0
