candidate,replicate,fixed_contacts_mean,com_to_pocket_mean_A,frames_fixed_contacts_ge10_pct
A3,1,12.205,7.35202374124527,66.10000000000001
A3,2,19.672,8.068481847763062,72.89999999999999
A3,3,4.949,11.429842762470246,15.7
A7,1,26.6,5.073873855352402,99.8
A7,2,36.121,5.962780526638031,99.8
A7,3,21.302,7.521880741119385,94.89999999999999
A8,1,14.602,7.4984113070964815,75.5
A8,2,17.656,7.538317336082459,91.0
A8,3,14.455,7.958078488349915,82.3
A15,1,16.033,8.130674294948578,85.7
A15,2,14.612,9.098033597946166,77.3
A15,3,20.404,7.012035150051117,91.7
AC-5216,1,20.866,6.044256760597229,95.7
AC-5216,2,15.977,7.412183788776398,73.3
AC-5216,3,19.403,7.512438255786896,93.10000000000001
