frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,ligand_protein_min_distance_A,ligand_protein_contact_count_4A
0,10.000000029814057,2.969368504526714e-07,5.645346006261818e-08,3.139884022515119,21
1,20.000000059628114,0.7816878146067423,2.949519264625649,2.835770107979655,21
2,30.00000008944217,0.8391676443003263,2.7220901062445355,3.6672961925273766,4
3,40.00000011925623,0.9533874955755713,3.0673197708291893,3.2444466680867157,26
4,50.00000014907029,0.9779113571664774,3.0536754291251587,3.4868339988425574,14
5,60.00000017888434,1.0158271119840878,3.987702569865587,3.404221899779907,16
6,70.0000002086984,1.057146515477117,3.66965316886379,3.3298128508152716,24
7,80.00000023851246,1.0962997282087927,3.633894331017165,3.3553287431263774,16
8,90.00000026832652,1.2857005755450726,4.401851316107377,3.172445921250033,11
9,100.00000029814058,1.3100968027343685,3.554279520450573,3.2798388442556567,22
10,110.00000032795462,1.3399035090309177,5.498023888101692,3.3683227160943687,18
11,120.00000035776868,1.3336203845048058,5.725597467795147,3.3516406205824016,16
12,130.00000038758273,1.4493438841611983,5.572912564006528,2.729966825203437,19
13,140.0000004173968,1.5827249637379301,5.742473559664575,3.4496154752140913,19
14,150.00000044721085,1.4092744694163608,4.460371087509032,3.217734183835879,11
15,160.0000004770249,1.5744126363853634,3.7735938932480235,2.8492249993231136,16
16,170.00000050683897,1.5656510724551425,3.1937042320783027,2.8843442964818777,12
17,180.00000053665303,1.5040489539362585,3.86916761753764,3.4314464618928966,15
18,190.0000005664671,1.566427341694643,4.272584962439888,3.021241089786833,15
19,200.00000059628115,1.5284249520963251,5.068947974358471,3.5086460429870936,14
20,210.0000006260952,1.4915630938932252,3.628067099580274,3.4788016350214663,25
21,220.00000065590925,1.5071463622533523,3.4212054214094274,3.0675010177249535,10
22,230.0000006857233,1.4953256131653394,4.285769555545413,3.482706001174567,12
23,240.00000071553737,1.3858785807327398,4.634340137528833,3.1609940918213746,14
24,250.00000074535143,1.491512416716938,4.982530084282596,2.8520483002862393,24
25,260.00000077516546,1.488918001493133,4.372514822795319,2.8451375672277863,27
26,270.00000080497955,1.3170722746819865,4.703697911355946,3.4151162802338804,12
27,280.0000008347936,1.3779308428750914,4.636758271963928,3.376297669010391,20
28,290.00000086460767,1.5155543550352428,4.505203188778088,3.143375835083211,35
29,300.0000008944217,1.3854229232960888,4.158502596936108,3.292413120827551,21
30,310.0000009242358,1.4470435663051289,4.8116697340128205,2.8375834242061586,18
31,320.0000009540498,1.4802387089675715,4.653940794957722,3.003995847263593,17
32,330.00000098386386,1.330535211249104,4.777129958953573,3.131939631338303,23
33,340.00000101367795,1.416464541269066,5.909724434827477,3.2048613109487274,18
34,350.000001043492,1.5209992733256763,5.641344934433147,3.1547437170321135,28
35,360.00000107330607,1.5425481580517844,5.791264583426292,3.390918625986566,23
36,370.0000011031201,1.5226554526805522,4.627078398116329,2.768933081448563,17
37,380.0000011329342,1.4531271612643686,5.341897626344043,3.024825475632484,14
38,390.0000011627482,1.5393533067485445,5.463646314273297,3.2872929533768955,13
39,400.0000011925623,1.7019720344808844,4.533637726316577,2.8544001480211008,21
40,410.00000122237634,1.7079904592837527,3.6324616627057575,3.7527227287471665,5
41,420.0000012521904,1.5196761117021242,3.6277130595627773,3.3587400085465817,14
42,430.00000128200446,1.633621051634618,3.3976085524608486,3.504509726842983,17
43,440.0000013118185,1.6428478344621098,3.6507853095189233,3.165030748674677,24
44,450.0000013416326,1.6773015259219555,4.556851846106087,3.307270602743989,11
45,460.0000013714466,1.5957586058727948,3.3450921534831344,3.0317065172802615,15
46,470.0000014012607,1.6372991833328874,3.3181995977897216,3.4962366053727796,9
47,480.00000143107474,1.5759040415890833,3.893089604484139,3.1340604586351466,18
48,490.00000146088877,1.5865792864147352,3.7174438381069956,3.1903904172850996,21
49,500.00000149070286,1.5665745455040287,5.01894606933684,3.2652941225547796,19
50,510.0000015205169,1.795298613552503,4.565391008158578,3.2078169252762674,17
51,520.0000015503309,1.535853670779038,5.123367731082427,3.256815285179409,11
52,530.0000015801451,1.5021335496669164,4.948422132837778,3.551993304263592,3
53,540.0000016099591,1.5449248057712548,6.073220666370016,3.57883623786369,10
54,550.0000016397731,1.4861292335159029,6.007387979263896,3.0932913093249423,25
55,560.0000016695872,1.5358845130547776,5.96727000376248,3.3475451151570024,23
56,570.0000016994012,1.5597853075853771,6.477531719670356,3.1064075204112473,24
57,580.0000017292153,1.6414392719478381,5.777921292156756,3.127899426364707,19
58,590.0000017590294,1.766220474342324,6.275515450384641,3.565557029046699,9
59,600.0000017888434,1.8227644497861766,6.195766568439454,3.354751554947846,15
60,610.0000018186574,1.8334340433368357,5.605187802189564,3.270444382967845,28
61,620.0000018484716,1.8467130930060065,5.51933739480949,3.4127459859444715,21
62,630.0000018782856,1.8879120994769296,5.49705057801771,3.65606308955306,5
63,640.0000019080996,1.8650265818411769,5.314492545000415,3.2829892657005604,27
64,650.0000019379137,1.7689038310668683,4.291007345811402,3.194069649378303,22
65,660.0000019677277,1.848603542623508,4.733062342593545,3.6239973124240095,10
66,670.0000019975419,1.935743554796593,5.048462995857383,3.2444931792336247,20
67,680.0000020273559,2.170873178091952,5.504387345151617,3.4501690105169485,16
68,690.0000020571699,2.171079508896643,6.449042715062323,3.5748817172669898,14
69,700.000002086984,1.9826631706191913,6.652450378601573,3.541895239127295,20
70,710.0000021167981,1.993087573543123,6.971307374483017,3.225242095640307,18
71,720.0000021466121,2.020672737483928,6.640425630833294,3.165753654003884,23
72,730.0000021764262,2.107557210773893,7.146526175523393,3.2767137807374738,28
73,740.0000022062402,2.070794547341666,7.063595701153721,3.3482131913707396,19
74,750.0000022360542,2.1127604063729524,6.227237279980734,3.2715951859551233,21
75,760.0000022658684,2.1257643033988916,7.574110081295941,3.2155634212198843,16
76,770.0000022956824,2.213510096358908,7.343885399823143,3.388354912287889,24
77,780.0000023254964,2.2600853886896823,7.1790345303187175,3.264839928403733,24
78,790.0000023553105,2.1784438594329774,7.692405182004144,3.2478808508891177,22
79,800.0000023851246,2.1440301180092654,6.990178339383805,3.207630228823026,26
