frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,ligand_protein_min_distance_A,ligand_protein_contact_count_4A
0,10.000000029814057,2.902334445872928e-07,2.2598729860936254e-08,3.204110342918859,25
1,20.000000059628114,0.681654494148471,1.7583901124006545,3.4573742712499995,20
2,30.00000008944217,0.842973648973666,1.9082835943245358,3.4280903427611595,37
3,40.00000011925623,0.915224560249197,1.7971192880378792,3.3907960066323293,15
4,50.00000014907029,1.0467931459145468,1.9929993403057373,3.3620556449120325,24
5,60.00000017888434,0.8087642355512574,2.5218272323741817,3.437992962255814,28
6,70.0000002086984,0.930211083274432,2.0458054274393294,3.1340776966155213,35
7,80.00000023851246,1.0297653430226639,2.8158881693259916,3.1459849912621296,28
8,90.00000026832652,0.987319917951297,2.4045653066579167,3.3124062866774087,11
9,100.00000029814058,1.0257447458050353,2.598475698464163,3.237722682290661,49
10,110.00000032795462,1.1159838477712933,1.912664230742153,3.255028575765923,32
11,120.00000035776868,1.1772841992193785,2.199656353701798,3.03639084144993,35
12,130.00000038758273,1.0960594034475748,2.473877772386504,3.2540900097234307,34
13,140.0000004173968,1.2086676528298723,3.16262407426771,3.3708183379403613,24
14,150.00000044721085,1.1157964002871006,1.9089378755842341,3.440523517161822,23
15,160.0000004770249,1.173696439407131,2.8853648051885785,3.1117129330361615,33
16,170.00000050683897,1.1320365366041956,2.5006323803059978,3.4282632359997702,16
17,180.00000053665303,1.1741423010459087,2.0132153580816694,3.2440073076629172,27
18,190.0000005664671,1.1677531902288651,2.479281863566677,3.300840767769618,18
19,200.00000059628115,1.0950322795620764,2.4071594569964305,3.3397866405936023,14
20,210.0000006260952,1.1854740311135956,2.6092924480364963,3.309642350849945,32
21,220.00000065590925,1.2052314402509456,3.926743536595654,3.528524646812957,20
22,230.0000006857233,1.2312129443286448,2.7285213000142794,3.3252100827957567,25
23,240.00000071553737,1.3763742095624847,2.6249391065307854,3.522199527441397,16
24,250.00000074535143,1.2269476956761447,2.240656390848139,3.338707374749111,31
25,260.00000077516546,1.2220442062900312,2.616175350881702,3.3128169645853855,28
26,270.00000080497955,1.3089369483619773,2.5230922889970784,3.18830801502258,28
27,280.0000008347936,1.2592554686479038,2.782015167235004,3.511664843118994,13
28,290.00000086460767,1.32426033470243,2.9409193141496552,3.4447779511089376,19
29,300.0000008944217,1.3680847443702837,2.971787373863109,3.281837192855946,17
30,310.0000009242358,1.2033950719615025,2.7911270553323573,3.213033395859009,37
31,320.0000009540498,1.2097730434271248,3.025446366806286,3.387942048118759,28
32,330.00000098386386,1.2814040719405615,3.1900205767715337,3.0010310626457772,30
33,340.00000101367795,1.2691207781286464,2.741010610216459,3.295980467729192,27
34,350.000001043492,1.306629167039598,2.4076470206271576,3.3889458361428644,34
35,360.00000107330607,1.2254153578674447,3.4842426837923663,3.0881837033789665,35
36,370.0000011031201,1.3476893879375431,3.3910728378833195,3.375672167494566,27
37,380.0000011329342,1.2212911426190953,2.921872711042867,3.518456975684951,28
38,390.0000011627482,1.248020064401613,3.074964670659514,3.3269129592246376,22
39,400.0000011925623,1.2909202857411195,2.5219474882418074,3.2742662495995347,32
40,410.00000122237634,1.3426002531966017,3.3518166370052014,3.3601096126297305,27
41,420.0000012521904,1.2235685723096386,3.095667043066485,3.3644528358749004,13
42,430.00000128200446,1.4115318849097562,3.1960182398317434,3.2132401203812995,25
43,440.0000013118185,1.2667381847184496,2.801352763629519,3.54326698200428,18
44,450.0000013416326,1.2669999359102302,2.8199285412033017,3.303031777155412,22
45,460.0000013714466,1.419979165991616,2.8298927765836903,3.3000819802938466,19
46,470.0000014012607,1.3007981834961837,2.614180193845803,3.3725540340045366,40
47,480.00000143107474,1.2071751633157766,3.423634971859251,3.2179832656358855,21
48,490.00000146088877,1.2671252228918573,2.5461567715358555,3.3842654730913764,19
49,500.00000149070286,1.3202959719345562,2.852012658769833,3.2126470687985114,33
50,510.0000015205169,1.3471232091039598,2.333968376625777,3.3562049280191255,21
51,520.0000015503309,1.3804717306790435,2.559045001839616,3.295201170457455,34
52,530.0000015801451,1.4898701613034646,2.4213490197161223,3.341442417094422,17
53,540.0000016099591,1.3588083436519103,2.0672962474225294,3.298208970213053,29
54,550.0000016397731,1.46258401596319,72.48747520943616,36.25565688620191,0
55,560.0000016695872,1.4701848792269219,3.1737435898592894,3.0742592330264125,10
56,570.0000016994012,1.4790716511378603,2.620918115402122,3.3372722876657046,23
57,580.0000017292153,1.4625868244605806,2.6997781190622727,2.9601484470259556,28
58,590.0000017590294,1.554381128763163,2.472507398033005,3.5938423476585917,27
59,600.0000017888434,1.4525133474027299,2.1224956748296173,3.323941318935043,17
60,610.0000018186574,1.5571607210789156,2.1661359305393963,3.3889468210684974,23
61,620.0000018484716,1.5421931254754213,2.771776060484562,3.4774785924344442,20
62,630.0000018782856,1.5374676757289718,2.3318379000426006,3.237058107125019,26
63,640.0000019080996,1.5662923746523831,2.3909073923292636,3.5107988249516984,14
64,650.0000019379137,1.3959216991162837,1.836186588775052,3.522705137345471,16
65,660.0000019677277,1.5094121259415614,2.1668326455367013,3.5342405366152283,5
66,670.0000019975419,1.3706721615127242,2.914025535413619,3.3671341115166418,16
67,680.0000020273559,1.2994008384376166,4.1767987370555195,3.1627278845181714,11
68,690.0000020571699,1.31252126809031,3.4741823519164914,3.4890923149861077,15
69,700.000002086984,1.3578281948246014,2.884395187960195,3.3536681916463715,27
70,710.0000021167981,1.3309633886266432,2.381494720863499,3.4571038017634055,25
71,720.0000021466121,1.4291609082669563,2.432802469497377,3.338546411726144,24
72,730.0000021764262,1.4597459139637547,2.691872181097892,3.4667492844444765,21
73,740.0000022062402,1.479482721029922,3.0470175298173436,3.461721361659052,10
74,750.0000022360542,1.6427598051960075,2.799923056556728,3.443816052476656,20
75,760.0000022658684,1.6454490441125482,2.06287293653331,3.5393408524814256,19
76,770.0000022956824,1.5579612231180944,1.9840374646010603,3.5100218478226575,24
77,780.0000023254964,1.703634005325708,2.030047259335334,3.3747075272036597,22
78,790.0000023553105,1.6095094593278712,2.110767417631796,3.4922344708110726,12
79,800.0000023851246,1.6998830153281306,2.1499449109376583,3.267740394954648,30
80,810.0000024149386,1.835550229841468,1.9018740294652507,3.3786303457171054,30
81,820.0000024447527,1.8162311680580963,2.086001612803716,3.3962096179390833,30
82,830.0000024745667,1.7288905326650925,3.0239079987432254,3.4248449248687765,23
83,840.0000025043807,1.7659825910722622,2.9904726887821442,3.4203815423611306,40
84,850.0000025341949,1.9775911753228879,3.1630537216180903,3.330461854723979,33
85,860.0000025640089,2.04590864131926,2.7692569436190113,3.2669082383602714,20
86,870.000002593823,1.9269202237173368,1.958995192769178,3.179420103784666,37
87,880.000002623637,2.1112639558787802,2.2386853795111095,2.9315205853796904,24
88,890.000002653451,2.0959340818674685,2.555393577834797,3.4326334403509255,15
89,900.0000026832652,2.0780745271093624,2.5488292845137654,3.4497114199038785,14
90,910.0000027130792,2.053531915903574,2.3507992943033353,3.3284158355721276,28
91,920.0000027428932,2.0700015534107536,72.71601100583453,37.474130074021566,0
92,930.0000027727073,2.2201013794379008,2.640142508683903,3.420838360118696,24
93,940.0000028025214,2.154055867363017,2.4779024597611867,3.5405394312323835,23
94,950.0000028323354,2.1740975018307362,2.06306356023264,3.4698773176069446,17
95,960.0000028621495,2.1907103092266564,2.4895893325144685,3.6011921657061374,21
96,970.0000028919635,2.2704912374215795,2.4091113180567554,3.10183799154328,35
97,980.0000029217775,2.119020036401688,1.8274408981393626,3.403760507758624,17
98,990.0000029515917,2.054709612961595,1.8063167115165493,3.327091110179,20
99,1000.0000029814057,2.013793343578551,1.4362822315654593,3.4376957230767893,29
