ligand_id,smiles,MW,logD7_4,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux,CNS_MPO,dock_score,fu,CNS_gate_pass,CL_plasma,Vss_plasma,t_half_plasma,AUC_plasma_tEnd,Cmax_plasma,AUC_brain_tEnd,Cmax_brain,C_tEnd_brain,Brain_30min,Brain_60min,Brain_90min,Plasma_30min,Plasma_60min,Plasma_90min,Brain_Plasma_30min,Brain_Plasma_60min,Brain_Plasma_90min,Washout_30_to_90,Washout_Plasma_30_to_90,Kp_brain,Final_Weighted_Score
emap_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,485.466,3.059,82.25,0,7,7,-4.747,0,5.4,-5.078,0.02499,PASS,0.3744723217,3704.587698,122.0919759,0.1405125111,0.001203982043,0.01153647248,0.00001176394289,0.00001176394289,0.000002829451,0.00000339048,0.000003863721,0.0004362065,0.0002855644,0.0002212011,0.006486494355,0.01187290853,0.01746700627,1.365537343,0.507101797,0.08210281336,-0.7283594762
emap_Bn-4OCHF2_Me,CCN(Cc1ccc(OC(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,467.476,2.762,82.25,0,7,8,-4.382,0,5.4,-5.2,0.04059,PASS,0.3063155164,3226.84598,128.9761719,0.1663413048,0.001354617067,0.011194719,0.00001154691927,0.00001154691927,0.000002820237,0.000003287739,0.000003711375,0.0005038422,0.0003235614,0.0002496332,0.005597460872,0.01016109771,0.01486731332,1.315979827,0.4954590941,0.06729969454,-1.048104056
emap2_Bn_CH2CF3,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,469.467,3.263,73.02,0,6,7,-4.727,0,5.4,-6.605,0.01784,PASS,0.4195915244,4154.889584,122.3720133,0.133854419,0.001461979584,0.01527780574,0.00001551277273,0.00001551277273,0.000003514815,0.000004386354,0.000005076171,0.000403412,0.0002728738,0.0002124819,0.008712718015,0.01607466162,0.02388989839,1.444221389,0.5267118975,0.1141374775,0.6760676977
emap2_Bn-4F_Me,CCN(Cc1ccc(F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,419.46,2.376,73.02,0,6,6,-3.925,0,5.4,-5.699,0.07508,PASS,0.2223166812,2783.296108,150.9056152,0.2174238712,0.001870236825,0.01627868041,0.00001721057379,0.00001721057379,0.000003752228,0.000004469913,0.000005089864,0.0005891255,0.0003858691,0.0002974194,0.006369148849,0.01158401385,0.017113423,1.35649113,0.5048489668,0.07487071372,-0.2970102124
"emap2_Bn-3,5diF_CH2CH2F",CCN(Cc1ccc(F)cc1F)C(=O)Cn1c(=O)n(CCF)c2cnc(-c3ccccc3)nc21,469.467,2.948,73.02,0,6,8,-4.463,0,5.4,-5.699,0.02998,PASS,0.3362174321,3590.271473,130.7967692,0.1538109034,0.001566616935,0.01408138126,0.00001448265539,0.00001448265539,0.000003303209,0.000004032245,0.000004628211,0.0004543744,0.0003013863,0.0002330121,0.007269795569,0.01337899234,0.01986253504,1.401125693,0.5128196043,0.09154995483,-0.1208578244
"emap2_Bn-3,4diF_Me",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,437.45,2.515,73.02,0,6,6,-4.124,0,5.4,-5.459,0.06032,PASS,0.2299071348,3024.725914,158.3494466,0.1934307665,0.001697660075,0.0202749148,0.00002136984767,0.00002136984767,0.000004401873,0.000005471862,0.000006321085,0.0005306997,0.0003550937,0.0002712416,0.008294470489,0.0154096285,0.02330426085,1.435998949,0.5111018529,0.1048174247,0.6613186245
"emap2_Bn-3,4diF_CHF2",CCN(Cc1cc(F)ccc1F)C(=O)Cn1c(=O)n(C(F)F)c2cnc(-c3ccccc3)nc21,473.43,3.374,73.02,0,6,7,-4.822,0,5.4,-5.5,0.01484,PASS,0.4462111101,4431.861401,122.7459147,0.1246003211,0.00136439444,0.01841459237,0.00001864590376,0.00001864590376,0.00000408632,0.000005217634,0.000006092544,0.0003745026,0.0002582692,0.0002015203,0.01091132612,0.02020230829,0.03023290458,1.49096106,0.5381012041,0.1477892851,1.441893695
"emap2_Bn-3,4diCl_Me",CCN(Cc1cc(Cl)ccc1Cl)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,470.36,3.544,73.02,0,6,6,-4.976,0,4.8,-5.801,0.01118,PASS,0.5096779787,4697.937965,115.0797201,0.1191383079,0.001389429672,0.01480740216,0.00001485039138,0.00001485039138,0.000003418444,0.00000429035,0.000004974834,0.000364058,0.0002486731,0.0001951485,0.009389833488,0.01725297187,0.02549255567,1.45529194,0.5360368403,0.1242874976,0.3447319989
emap2_Bn-4OCF3_Me,CCN(Cc1ccc(OC(F)(F)F)cc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,485.466,3.059,82.25,0,7,7,-4.747,0,5.4,-5.674,0.02499,PASS,0.3744723217,3704.587698,122.0919759,0.1443724632,0.001532672322,0.01153647248,0.00001176394289,0.00001176394289,0.000002829451,0.00000339048,0.000003863721,0.0004362065,0.0002855644,0.0002212011,0.006486494355,0.01187290853,0.01746700627,1.365537343,0.507101797,0.07990770691,-0.5964070625
emap2_Bn-4OMe_CH2CF3,CCN(Cc1ccc(OC)cc1)C(=O)Cn1c(=O)n(CC(F)(F)F)c2cnc(-c3ccccc3)nc21,499.493,3.194,82.25,0,7,8,-4.853,0,5.4,-5.634,0.02,PASS,0.4180389806,3870.377302,115.179305,0.1347290128,0.001490698312,0.009858509526,0.000009959217095,0.000009959217095,0.000002507962,0.000002965638,0.000003360287,0.0004162352,0.0002698737,0.0002088628,0.006025348169,0.01098898485,0.01608848967,1.339847653,0.5017903339,0.0731728773,-0.893970753
emap3_Bn_OCH2CF3,CCN(Cc1ccccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)(F)F,485.466,3.117,82.25,0,7,8,-4.718,0,5.4,-5.481,0.02271,PASS,0.3894147521,3805.670977,120.8073405,0.1407440156,0.001514583477,0.01170860697,0.00001191333467,0.00001191333467,0.000002856497,0.000003439956,0.00000392702,0.0004266133,0.0002804013,0.0002174512,0.006695752336,0.01226797451,0.0180593163,1.374767766,0.5097150042,0.08319079797,-0.5521393737
emap3_Bn-3F_CH2CH2CF3,CCN(Cc1cc(F)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)(F)F,487.457,3.402,73.02,0,6,7,-4.927,0,4.8,-6.195,0.01416,PASS,0.4613719066,4427.464485,119.0984294,0.1214057505,0.001365167438,0.01503948681,0.00001518406134,0.00001518406134,0.000003441894,0.000004324546,0.000005017593,0.0003680901,0.0002509195,0.0001961584,0.009350683433,0.01723479443,0.02557929204,1.457799979,0.5329086547,0.1238778785,0.4450375393
emap3_Bn-3Cl_CH2F,CCN(Cc1cc(Cl)ccc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CF,453.905,3.281,73.02,0,6,7,-4.642,0,5.4,-4.834,0.01732,PASS,0.4228604375,4207.000732,122.9003743,0.1367736459,0.00149230496,0.01660585776,0.00001685863936,0.00001685863936,0.000003781741,0.000004747941,0.000005507494,0.0004116269,0.0002797848,0.0002179238,0.009187302871,0.01696997478,0.02527256775,1.456338232,0.5294206963,0.1214112386,0.5499413074
"emap3_Bn-3,5diF_nPr",CCN(Cc1c(F)cc(F)cc1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CCC,465.504,3.388,73.02,0,6,8,-4.716,0,5.4,-5.015,0.0145,PASS,0.4638144164,4338.589191,116.4318197,0.1297528446,0.001477057929,0.01353538595,0.00001364082982,0.00001364082982,0.000003200833,0.000003951961,0.000004553233,0.0003966052,0.0002665436,0.0002081349,0.008070577491,0.01482669627,0.02187635519,1.422515014,0.5247911525,0.1043166799,-0.03888494711
"emap3_Bn-3,4diCl_Me",CCN(Cc1c(Cl)ccc(Cl)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,470.36,3.544,73.02,0,6,6,-4.976,0,4.8,-6.076,0.01118,PASS,0.5096779787,4697.937965,115.0797201,0.1191383079,0.001389429672,0.01480740216,0.00001485039138,0.00001485039138,0.000003418444,0.00000429035,0.000004974834,0.000364058,0.0002486731,0.0001951485,0.009389833488,0.01725297187,0.02549255567,1.45529194,0.5360368403,0.1242874976,0.4056160824
emap3_Bn-3F_4OMe_CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,485.466,3.166,82.25,0,7,8,-4.748,0,5.4,-5.136,0.02095,PASS,0.402379228,3894.8102,119.8183187,0.1377162337,0.001498884638,0.01185577642,0.00001204050568,0.00001204050568,0.000002879796,0.000003482135,0.00000398094,0.0004184777,0.0002759908,0.0002142558,0.006881599665,0.01261685172,0.01858031381,1.382368751,0.5119885719,0.08608844506,-0.5519896444
emap3_Bn-3CF3_4F_Me,CCN(Cc1c(C(F)(F)F)ccc(F)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C,487.457,3.395,73.02,0,6,6,-4.989,0,4.8,-5.621,0.014328,PASS,0.4592979094,4413.523674,119.2361735,0.1217678115,0.001367436722,0.01501455344,0.00001516293014,0.00001516293014,0.000003437479,0.00000431736,0.000005008521,0.0003691078,0.0002515044,0.000196577,0.009312940556,0.01716614103,0.02547867248,1.457033192,0.5325734108,0.1233047819,0.3031164053
AC5216_ref,CCN(CC1=CC=CC=C1)C(=O)CN2C3=NC(=NC=C3N(C2=O)C)C4=CC=CC=C4,401.47,3.3,73.02,0,6,6,-3.726,0,5.4,-4.359,0.0034,FAIL,0.01433759735,1251.873255,1012.719401,0.5015749931,0.002686054446,0.01367321238,0.0000154487152,0.0000154487152,0.000003326645,0.000003525686,0.000003834698,0.001101274,0.0007051805,0.0005364337,0.003020724179,0.004999692986,0.007148503161,1.152722337,0.4871028463,0.02726055439,-2.013148944
