route_index,step,reaction_nodes,longest_linear_depth,route_complete,product,precursors,reaction_smiles,model_template_score,plausibility,reaction_class,terminal_starting_materials,all_terminal_buyable,pathway_score
1,1,5,4,TRUE,"CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21","CC1(C)OB(c2ccccc2)OC1(C)C | CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21","CC1(C)OB(c2ccccc2)OC1(C)C.CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21>>CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21",0.44643136858940125,0.9999974370002747,"heteroaryl C-Cl replacement by phenyl boronate coupling","CC(C)(C)OC(=O)CBr | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
1,2,5,4,TRUE,"CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21","CCNCc1cc(F)ccc1C(F)(F)F | Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21","CCNCc1cc(F)ccc1C(F)(F)F.Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21>>CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21",0.053588707000017166,0.9999861717224121,"amide coupling of substituted secondary benzylamine and purinone acetic acid","CC(C)(C)OC(=O)CBr | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
1,3,5,4,TRUE,"Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21","Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21","Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21>>Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21",0.13633599877357483,0.9992824792861938,"tert-butyl ester deprotection","CC(C)(C)OC(=O)CBr | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
1,4,5,4,TRUE,"Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21","CC(C)(C)OC(=O)CBr | Cn1c(=O)[nH]c2nc(Cl)ncc21","CC(C)(C)OC(=O)CBr.Cn1c(=O)[nH]c2nc(Cl)ncc21>>Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21",0.017973842099308968,0.9998890161514282,"purinone N-alkylation with tert-butyl bromoacetate","CC(C)(C)OC(=O)CBr | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
1,5,5,4,TRUE,"CCNCc1cc(F)ccc1C(F)(F)F","CCN | Fc1ccc(C(F)(F)F)c(CBr)c1","CCN.Fc1ccc(C(F)(F)F)c(CBr)c1>>CCNCc1cc(F)ccc1C(F)(F)F",0.052847519516944885,0.9987807869911194,"benzyl-halide substitution by ethylamine","CC(C)(C)OC(=O)CBr | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
2,1,5,4,TRUE,"CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21","CC1(C)OB(c2ccccc2)OC1(C)C | CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21","CC1(C)OB(c2ccccc2)OC1(C)C.CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21>>CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21",0.44643136858940125,0.9999974370002747,"heteroaryl C-Cl replacement by phenyl boronate coupling","CC(C)(C)OC(=O)CCl | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
2,2,5,4,TRUE,"CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21","CCNCc1cc(F)ccc1C(F)(F)F | Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21","CCNCc1cc(F)ccc1C(F)(F)F.Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21>>CCN(Cc1cc(F)ccc1C(F)(F)F)C(=O)Cn1c(=O)n(C)c2cnc(Cl)nc21",0.053588707000017166,0.9999861717224121,"amide coupling of substituted secondary benzylamine and purinone acetic acid","CC(C)(C)OC(=O)CCl | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
2,3,5,4,TRUE,"Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21","Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21","Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21>>Cn1c(=O)n(CC(=O)O)c2nc(Cl)ncc21",0.13633599877357483,0.9992824792861938,"tert-butyl ester deprotection","CC(C)(C)OC(=O)CCl | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
2,4,5,4,TRUE,"Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21","CC(C)(C)OC(=O)CCl | Cn1c(=O)[nH]c2nc(Cl)ncc21","CC(C)(C)OC(=O)CCl.Cn1c(=O)[nH]c2nc(Cl)ncc21>>Cn1c(=O)n(CC(=O)OC(C)(C)C)c2nc(Cl)ncc21",0.009921688586473465,0.9998646974563599,"purinone N-alkylation with tert-butyl chloroacetate","CC(C)(C)OC(=O)CCl | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
2,5,5,4,TRUE,"CCNCc1cc(F)ccc1C(F)(F)F","CCN | Fc1ccc(C(F)(F)F)c(CBr)c1","CCN.Fc1ccc(C(F)(F)F)c(CBr)c1>>CCNCc1cc(F)ccc1C(F)(F)F",0.052847519516944885,0.9987807869911194,"benzyl-halide substitution by ethylamine","CC(C)(C)OC(=O)CCl | CC1(C)OB(c2ccccc2)OC1(C)C | CCN | Cn1c(=O)[nH]c2nc(Cl)ncc21 | Fc1ccc(C(F)(F)F)c(CBr)c1",TRUE,
