Bn	Cc1ccccc1
Bn-4F	Cc1ccc(F)cc1
Bn-3F	Cc1cc(F)ccc1
Bn-2F	Cc1c(F)cccc1
Bn-4Cl	Cc1ccc(Cl)cc1
Bn-3Cl	Cc1cc(Cl)ccc1
Bn-4Br	Cc1ccc(Br)cc1
Bn-4OMe	Cc1ccc(OC)cc1
Bn-3OMe	Cc1cc(OC)ccc1
Bn-4OCHF2	Cc1ccc(OC(F)F)cc1
Bn-4OCF3	Cc1ccc(OC(F)(F)F)cc1
Bn-4CF3	Cc1ccc(C(F)(F)F)cc1
Bn-3CF3	Cc1cc(C(F)(F)F)ccc1
Bn-4CF2H	Cc1ccc(C(F)F)cc1
Bn-3,5diF	Cc1c(F)cc(F)cc1
Bn-3,4diF	Cc1c(F)ccc(F)c1
Bn-2,6diF	Cc1c(F)cccc(F)1
Bn-3,4diCl	Cc1c(Cl)ccc(Cl)c1
Bn-3,5diCl	Cc1c(Cl)cc(Cl)cc1
Bn-4iPr	Cc1ccc(C(C)C)cc1
Bn-4CN	Cc1ccc(C#N)cc1
Bn-4SF5	Cc1ccc(S(F)(F)(F)(F)F)cc1
Bn-3SF5	Cc1cc(S(F)(F)(F)(F)F)ccc1
Bn-4OCF2H	Cc1ccc(OC(F)F)cc1
Bn-4OCF2CF3	Cc1ccc(OC(F)C(F)(F)F)cc1
Bn-4OCF2Ph	Cc1ccc(OC(F)c2ccccc2)cc1
Bn-3OMe_4F	Cc1c(OC)ccc(F)c1
Bn-3F_4CF3	Cc1c(F)ccc(C(F)(F)F)c1
Bn-3Cl_4CF3	Cc1c(Cl)ccc(C(F)(F)F)c1
Bn-3F_4OMe	Cc1c(F)ccc(OC)c1
Bn-3CF3_4F	Cc1c(C(F)(F)F)ccc(F)c1
Bn-3F_4SF5	Cc1c(F)ccc(S(F)(F)(F)(F)F)c1
Bn-3OMe_4CF3	Cc1c(OC)ccc(C(F)(F)F)c1
