Me	C
Et	CC
nPr	CCC
nBu	CCCC
CH2F	CF
CH2CH2F	CCF
CH2CH2CH2F	CCCF
CH2CHF2	C(F)F
CH2CH2CHF2	CC(F)F
CH2CH2CH2CHF2	CCC(F)F
CH2CF3	C(F)(F)F
CH2CH2CF3	CC(F)(F)F
CH2CH2CH2CF3	CCC(F)(F)F
OCH2F	COF
OCH2CHF2	COC(F)F
OCH2CF3	COC(F)(F)F
OCH2CH2F	COCF
OCH2CH2CF3	COCC(F)(F)F
OCH2CH2CHF2	COCC(F)F
OCH2CH2CH2F	COCCF
OCH2CH2CH2CF3	COCCC(F)(F)F
CH2SiMe3	C[Si](C)(C)C
CH2CH2SiMe3	CC[Si](C)(C)C
OSiMe3	O[Si](C)(C)C
CH2SiEt3	C[Si](CC)(CC)CC
tBu	C(C)(C)C
BnCH2	Cc1ccccc1C
PhCH2F	c1ccccc1CF
OCH2CF2H	COC(F)F
OCH2CH2CF2H	COCC(F)F
CH2CF2H	C(F)F
CH2CH2CF2H	CC(F)F
OCH2CH2CH2CHF2	COCCC(F)F
CH2CH2CF2CF3	CC(F)C(F)(F)F
CH2CF2CF3	C(F)C(F)(F)F
CH2CH2CH2CF2CF3	CCC(F)C(F)(F)F
CH2CH2CF2CH3	CC(F)C
OCH2CF2CF3	COC(F)C(F)(F)F
OCH2CF2CH3	COC(F)C
OCH2CH2CF2CF3	COCC(F)C(F)(F)F
CH2CF2CH2F	C(F)CF
CH2CH2CF2CH2F	CC(F)CF
OCH2CF2CH2F	COC(F)CF
CH2CH2CF2CH2CHF2	CC(F)C(F)F
CH2CH2CF2CH2CF3	CC(F)C(F)(F)F
OCH2CH2CF2CH2F	COCC(F)CF
CH2CH2CF2CH2CH2F	CC(F)CCF
CH2CF2CH2CH2F	C(F)CCF
CH2CF2CH2CHF2	C(F)C(F)F
CH2CF2CH2CF3	C(F)C(F)(F)F
OCH2CF2CH2CH2F	COC(F)CCF
OCH2CH2CF2CH2CH2F	COCC(F)CCF
CH2CH2CF2CH2CH2CHF2	CC(F)CC(F)F
CH2CH2CF2CH2CH2CF3	CC(F)CC(F)(F)F
